"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 8:23:33 PM GMT+1","8","6","7","5","6","9","4","7","5","7","6","8","7","7","9","10","5","Yes"
"2019/09/15 8:23:34 PM GMT+1","8","7","7","5","7","7","5","6","5","5","6","6","6","6","6","5","5","Yes"
"2019/09/15 8:23:36 PM GMT+1","8","7","8","8","7","8","1","6","1","7","7","","","7","8","8","6","No"
"2019/09/15 8:24:18 PM GMT+1","8","8","8","7","7","9","6","7","5","5","6","","7","7","8","8","5","Yes"
"2019/09/15 8:24:24 PM GMT+1","9","8","8","9","10","9","5","8","6","7","7","9","8","7","8","9","8","Yes"
"2019/09/15 8:24:24 PM GMT+1","7","7","7","7","6","9","7","8","7","7","5","6","6","7","10","6","7","Yes"
"2019/09/15 8:24:29 PM GMT+1","9","9","9","7","8","8","5","7","5","6","7","7","6","7","7","7","4","Yes"
"2019/09/15 8:24:51 PM GMT+1","6","6","7","7","7","8","6","6","4","5","6","8","6","6","6","6","5","Yes"
"2019/09/15 8:25:23 PM GMT+1","6","6","8","7","8","9","6","7","7","7","6","6","6","7","10","8","7","Yes"
"2019/09/15 8:25:51 PM GMT+1","6","7","8","6","8","9","3","7","6","6","5","7","7","8","10","7","6","No"
"2019/09/15 8:26:35 PM GMT+1","8","7","7","8","9","9","4","7","5","5","5","7","5","7","5","7","7","Yes"
"2019/09/15 8:27:29 PM GMT+1","7","6","8","6","8","9","5","7","6","5","6","","5","6","7","7","6","No"
"2019/09/15 8:28:35 PM GMT+1","6","7","8","7","8","7","7","8","5","4","7","7","6","6","7","6","7",""
"2019/09/15 8:28:39 PM GMT+1","8","6","9","8","8","9","7","7","6","6","7","8","7","7","9","7","6","Yes"
"2019/09/15 8:28:44 PM GMT+1","9","7","8","8","7","10","6","6","4","5","6","7","7","6","10","10","4","Yes"
"2019/09/15 8:28:49 PM GMT+1","7","6","6","6","7","7","4","6","4","4","5","","","6","8","2","5","Yes"
"2019/09/15 8:28:53 PM GMT+1","7","6","8","6","8","8","2","6","3","5","6","8","7","6","8","6","3","Yes"
"2019/09/15 8:29:30 PM GMT+1","8","7","8","6","8","9","6","7","5","6","7","8","7","6","10","8","2","Yes"
"2019/09/15 8:29:45 PM GMT+1","7","7","7","7","7","8","5","6","5","6","6","6","6","6","7","8","3",""
"2019/09/15 8:29:48 PM GMT+1","7","6","8","7","7","7","5","7","6","6","6","7","7","7","10","8","6","Yes"
"2019/09/15 8:30:18 PM GMT+1","7","7","8","7","6","9","6","7","6","6","5","6","6","6","7","7","5","Yes"
