"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 10:03:51 PM GMT+2","8","6","7","7","7","7","7","7","10","6","9","5","7","7","7","7","5","Yes"
"2020/07/17 10:06:04 PM GMT+2","8","8","8","7","7","6","8","8","9","6","9","5","7","7","10","9","5","Yes"
"2020/07/17 10:08:47 PM GMT+2","8","8","8","7","6","5","7","8","9","5","8","6","7","6","9","6","7","Yes"
"2020/07/17 10:08:56 PM GMT+2","9","5","8","7","5","4","6","7","9","5","9","6","8","7","8","7","5","Yes"
"2020/07/17 10:09:03 PM GMT+2","8","7","7","6","6","5","7","8","10","5","8","6","7","7","8","8","8",""
"2020/07/17 10:09:07 PM GMT+2","8","6","8","6","5","6","6","6","9","6","8","7","7","6","9","6","8","No"
"2020/07/17 10:09:16 PM GMT+2","8","6","8","7","6","6","7","7","10","6","9","7","7","7","10","8","8","Yes"
"2020/07/17 10:10:07 PM GMT+2","8","7","9","7","7","6","7","7","9","6","10","6","7","7","10","9","5","No"
"2020/07/17 10:16:20 PM GMT+2","9","8","7","7","5","7","6","6","8","4","9","7","9","8","8","9","7","Yes"
"2020/07/17 10:16:30 PM GMT+2","8","5","8","7","6","4","6","5","8","5","7","5","7","6","6","5","6","No"
"2020/07/17 10:17:23 PM GMT+2","9","7","7","6","7","6","8","6","8","6","8","7","7","6","8","7","7","Yes"
"2020/07/17 10:18:37 PM GMT+2","9","7","7","6","6","6","8","7","9","7","9","6","8","6","10","8","8","No"
"2020/07/17 10:19:00 PM GMT+2","8","6","7","6","6","6","7","7","10","6","8","6","6","9","10","10","3","No"
"2020/07/17 10:19:53 PM GMT+2","8","7","8","7","7","6","7","7","9","7","9","7","7","8","8","8","7","Yes"
"2020/07/17 10:21:54 PM GMT+2","8","7","7","7","6","6","6","7","8","6","9","6","6","7","7","7","7","Yes"
"2020/07/17 10:23:29 PM GMT+2","9","6","8","6","5","5","7","6","9","5","8","7","7","7","10","7","5","Yes"
"2020/07/17 10:23:58 PM GMT+2","8","8","9","6","6","4","6","6","10","5","9","7","6","6","10","9","5","Yes"
"2020/07/17 10:25:40 PM GMT+2","9","7","8","7","6","5","7","7","10","7","9","7","7","8","8","8","7","No"
"2020/07/17 10:29:34 PM GMT+2","8","6","6","5","4","5","5","7","9","5","8","6","6","5","9","8","6","No"
"2020/07/17 10:30:04 PM GMT+2","7","6","6","6","6","6","7","7","9","5","9","5","6","6","7","7","6","Yes"
"2020/07/17 10:30:38 PM GMT+2","9","7","9","8","8","6","7","7","9","6","9","7","8","7","10","9","1","Yes"
"2020/07/17 10:34:30 PM GMT+2","9","7","7","8","8","6","7","8","9","7","9","","8","7","8","7","5",""
