"Timestamp","David De Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard(optional)","Fred(optional)","Rate our performance","Rate final result","Rate Ole (only this match)","Rate West Ham (only this match)","Were you happy with the referee? (optional)"
"2019/09/23 3:09:27 PM GMT+1","5","6","3","3","7","6","2","3","2","6","4","5","6","1","1","1","5","No"
"2019/09/23 3:09:40 PM GMT+1","6","8","3","4","5","7","4","5","4","4","2","","","4","2","5","5","Yes"
"2019/09/23 3:09:49 PM GMT+1","1","10","1","1","1","1","10","1","10","1","1","10","10","10","10","10","1","Yes"
"2019/09/23 3:09:50 PM GMT+1","6","5","7","5","7","2","2","2","2","4","1","","7","1","1","2","6","Yes"
"2019/09/23 3:09:56 PM GMT+1","7","5","6","6","7","5","5","4","4","6","4","4","6","5","3","3","7","Yes"
"2019/09/23 3:10:29 PM GMT+1","5","4","5","5","6","6","6","5","4","6","4","","","4","4","4","6",""
"2019/09/23 3:11:41 PM GMT+1","5","6","6","6","7","4","3","4","3","5","4","6","6","4","2","3","6","Yes"
"2019/09/23 3:11:45 PM GMT+1","7","6","6","5","7","7","6","6","7","5","2","","","5","3","7","9","Yes"
"2019/09/23 3:12:01 PM GMT+1","7","7","6","5","8","6","6","5","7","7","6","","","6","2","6","7","Yes"
"2019/09/23 3:12:16 PM GMT+1","5","3","4","4","6","5","2","3","2","7","5","2","4","2","1","5","7","Yes"
"2019/09/23 3:12:51 PM GMT+1","5","4","5","5","6","5","4","4","3","6","3","4","3","4","3","5","6","Yes"
"2019/09/23 3:13:23 PM GMT+1","6","7","6","6","6","6","5","5","4","6","4","2","6","5","4","4","6","Yes"
"2019/09/23 3:14:15 PM GMT+1","5","3","4","4","6","4","4","4","2","4","2","2","4","2","1","2","5","Yes"
"2019/09/23 3:14:38 PM GMT+1","5","6","5","5","6","7","6","4","3","6","3","3","5","3","1","3","7","Yes"
