"Timestamp","de Gea","Shaw","Maguire","Lindelof","AWB","Matic","Pogba","Bruno","Martial","Rashford","Greenwood","Williams","McTominay","Fred","Team Performance","Final Result","Ole","Aston Villa","Did the ref do a good job?","Did you get to the survey because you saw the post or because of notifications?"
"2020/07/13 2:02:43 PM GMT+2","7","8","7","8","7","7","7","8","7","7","9","7","6","6","7","8","7","3","No","Saw the post"
"2020/07/13 2:03:31 PM GMT+2","8","9","8","8","7","9","10","10","8","8","10","8","7","8","10","10","10","4","No","Saw the post"
"2020/07/13 2:04:04 PM GMT+2","7","8","6","6","7","7","9","10","8","7","10","6","6","6","8","10","10","7","Yes","Saw the post"
"2020/07/13 2:04:25 PM GMT+2","8","8","8","8","6","7","9","7","9","8","9","6","6","6","8","8","9","5","","Saw the post"
"2020/07/13 2:04:29 PM GMT+2","7","8","8","8","6","6","10","8","10","9","10","7","7","7","8","9","10","5","No","Saw the post"
"2020/07/13 2:05:40 PM GMT+2","7","7","7","8","8","8","9","9","8","8","9","7","7","7","8","10","8","5","No","Saw the post"
"2020/07/13 2:06:07 PM GMT+2","6","8","6","6","5","5","9","7","9","7","9","","","","7","8","9","5","","Saw the post"
"2020/07/13 2:06:20 PM GMT+2","7","9","6","6","5","8","9","9","9","7","9","7","6","6","9","9","9","5","Yes","Saw the post"
"2020/07/13 2:06:33 PM GMT+2","7","8","7","7","7","7","9","7","8","8","9","6","6","7","8","10","10","4","Yes","Saw the post"
"2020/07/13 2:06:58 PM GMT+2","7","8","7","7","7","7","8","8","7","7","9","7","7","7","9","9","8","6","No","Saw the post"
"2020/07/13 2:10:30 PM GMT+2","7","8","7","7","7","8","9","9","9","9","10","8","7","7","8","10","10","4","No","Saw the post"
"2020/07/13 2:11:20 PM GMT+2","8","10","7","8","5","7","9","6","9","8","10","6","6","6","8","10","9","5","No","Saw the post"
"2020/07/13 2:12:24 PM GMT+2","5","7","6","7","7","7","8","9","8","8","8","7","7","7","8","8","8","4","No","Saw the post"
