"Timestamp","De Gea","Maguire","Lindelof","Shaw","Williams","Wan-Bissaka","Matic","Fred","Bruno","Martial","James","Bailly (optional)","McTominay (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Man City","Did the ref do a good job?"
"2020/03/10 12:28:27 AM GMT+2","9","9","8","9","7","8","8","8","8","9","8","7","8","9","10","10","10","4","No"
"2020/03/10 12:28:36 AM GMT+2","9","10","9","10","8","10","10","10","9","10","9","8","9","9","10","10","10","3","No"
"2020/03/10 12:29:39 AM GMT+2","7","9","8","8","8","9","9","8","8","9","7","6","8","7","10","10","10","1","No"
"2020/03/10 12:29:51 AM GMT+2","8","8","8","9","8","10","9","10","9","9","9","7","8","8","10","10","10","5","No"
"2020/03/10 12:30:18 AM GMT+2","9","8","8","10","7","10","8","9","8","9","9","8","10","10","9","10","10","6","No"
"2020/03/10 12:31:10 AM GMT+2","8","9","9","10","8","10","9","10","9","10","8","8","10","10","10","10","10","2","No"
"2020/03/10 12:31:19 AM GMT+2","9","8","8","9","8","10","9","9","9","9","7","7","8","8","10","10","10","1","No"
"2020/03/10 12:31:53 AM GMT+2","9","9","9","10","9","10","9","10","10","10","9","8","9","10","10","10","10","8","Yes"
"2020/03/10 12:31:57 AM GMT+2","7","8","8","9","8","9","7","7","8","8","7","7","9","7","9","10","9","6","No"
"2020/03/10 12:31:58 AM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","4","No"
"2020/03/10 12:32:01 AM GMT+2","8","9","8","8","6","10","9","9","8","9","7","7","7","8","9","10","9","6","No"
"2020/03/10 12:32:23 AM GMT+2","7","7","7","8","7","9","7","7","8","8","7","","8","","8","9","8","6","Yes"
"2020/03/10 12:32:35 AM GMT+2","8","7","7","8","7","10","8","9","8","9","8","","","","9","9","9","6","No"
"2020/03/10 12:32:43 AM GMT+2","7","8","6","6","5","10","6","7","9","8","7","","","","10","10","10","6","No"
"2020/03/10 12:33:04 AM GMT+2","8","9","9","10","9","9","9","10","9","9","8","8","9","10","9","10","9","6","No"
"2020/03/10 12:33:07 AM GMT+2","7","6","7","8","7","9","7","8","9","9","6","","7","7","9","10","10","6","No"
"2020/03/10 12:33:08 AM GMT+2","9","9","9","9","7","9","9","8","10","10","7","","10","10","9","10","10","6","No"
"2020/03/10 12:33:37 AM GMT+2","7","8","8","8","7","9","7","8","8","8","7","6","7","10","10","10","10","1","No"
"2020/03/10 12:33:41 AM GMT+2","7","7","7","8","7","9","8","9","8","9","7","7","8","7","9","9","10","5","No"
"2020/03/10 12:33:54 AM GMT+2","6","8","7","8","7","9","8","8","7","7","7","6","7","6","9","10","9","4","No"
"2020/03/10 12:34:45 AM GMT+2","9","8","8","9","8","9","8","9","8","8","7","7","8","8","9","9","9","2","No"
