"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Team Performance","Final Result","Ole","Sheffield Utd","Did the ref do a good job?"
"2020/06/25 9:19:34 PM GMT+2","6","7","7","5","7","8","8","5","8","7","9","8","9","9","3","Yes"
"2020/06/25 9:21:12 PM GMT+2","5","5","6","5","6","7","6","6","6","5","8","9","9","9","3","Yes"
"2020/06/25 9:22:44 PM GMT+2","6","7","7","6","6","8","7","6","7","6","9","8","8","7","3","Yes"
"2020/06/25 9:23:39 PM GMT+2","7","7","8","7","8","9","9","7","9","7","10","9","10","10","4","Yes"
"2020/06/25 9:23:49 PM GMT+2","7","7","8","7","8","9","8","8","8","7","10","9","9","9","4","Yes"
"2020/06/25 9:26:19 PM GMT+2","7","7","8","7","8","8","8","7","7","6","10","8","9","10","4","Yes"
"2020/06/25 9:29:01 PM GMT+2","7","5","7","7","7","9","7","7","8","7","10","8","9","8","4","Yes"
"2020/06/25 9:34:59 PM GMT+2","6","8","7","7","8","10","9","7","8","7","10","10","7","10","5","Yes"
"2020/06/25 9:35:24 PM GMT+2","6","6","7","6","8","7","7","8","8","6","9","9","10","8","5","Yes"
"2020/06/25 9:37:55 PM GMT+2","6","7","7","6","7","9","8","8","8","7","10","9","9","9","4","Yes"
"2020/06/25 9:42:45 PM GMT+2","6","5","7","6","8","8","8","7","7","6","8","8","9","8","4","Yes"
"2020/06/25 9:47:34 PM GMT+2","6","7","7","7","9","10","8","7","8","6","10","9","8","9","5","Yes"
"2020/06/25 9:49:00 PM GMT+2","7","7","7","7","7","8","8","7","7","6","10","9","10","8","4","Yes"
"2020/06/25 9:53:09 PM GMT+2","10","8","8","7","8","10","9","7","9","8","9","10","10","9","6","Yes"
"2020/06/25 9:53:47 PM GMT+2","7","4","8","8","8","9","7","7","9","6","10","10","10","10","3","Yes"
"2020/06/25 9:53:57 PM GMT+2","7","8","8","8","9","8","9","8","9","8","10","8","10","8","2","Yes"
"2020/06/25 9:57:42 PM GMT+2","8","9","8","8","9","9","9","8","9","7","10","10","10","10","1","Yes"
"2020/06/25 9:58:20 PM GMT+2","7","8","7","7","8","9","9","8","7","6","10","10","10","10","1","No"
"2020/06/25 10:01:06 PM GMT+2","7","7","7","7","7","9","10","8","8","7","10","9","9","9","6","Yes"
"2020/06/25 10:04:42 PM GMT+2","5","6","6","6","7","8","7","8","7","6","10","10","10","10","2","No"
"2020/06/25 10:05:01 PM GMT+2","6","7","8","7","6","8","8","7","6","6","8","8","9","8","4","Yes"
"2020/06/25 10:05:12 PM GMT+2","6","7","8","7","8","10","9","8","7","6","10","9","10","9","5","Yes"
"2020/06/25 10:05:41 PM GMT+2","6","8","8","7","8","9","9","7","6","7","10","9","9","8","6","Yes"
"2020/06/25 10:06:20 PM GMT+2","6","8","7","7","7","9","8","6","9","7","10","9","10","9","4","Yes"
"2020/06/25 10:06:45 PM GMT+2","7","5","8","7","8","9","9","8","8","7","10","9","7","8","3","Yes"
"2020/06/25 10:06:58 PM GMT+2","7","8","8","8","9","9","8","8","8","7","9","8","7","8","5","Yes"
"2020/06/25 10:08:05 PM GMT+2","7","7","10","10","8","10","9","8","9","8","10","9","10","10","4","Yes"
"2020/06/25 10:08:53 PM GMT+2","8","7","7","7","8","10","9","9","8","8","10","10","9","9","3","Yes"
"2020/06/25 10:08:58 PM GMT+2","5","6","7","7","8","9","8","7","7","6","10","8","10","8","4","Yes"
