"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Mason Greenwood","Andreas Pereira(optional)","Team Performance","Final Result","Ole","Tottenham","Did the ref/VAR do a good job (optional, please be unbiased)"
"2019/12/06 4:01:06 PM GMT+1","8","7","7","8","9","8","7","9","8","7","5","4","8","10","7","7","Yes"
"2019/12/06 4:02:11 PM GMT+1","8","6","8","8","9","9","9","10","7","7","7","5","9","8","7","4","Yes"
"2019/12/06 4:02:25 PM GMT+1","8","6","7","8","7","8","7","9","7","7","6","3","8","8","8","4","Yes"
"2019/12/06 4:02:30 PM GMT+1","7","7","7","8","8","9","9","10","7","7","8","5","8","8","9","6","Yes"
"2019/12/06 4:03:43 PM GMT+1","7","5","6","6","8","8","7","9","7","6","6","5","8","6","9","7","Yes"
"2019/12/06 4:04:14 PM GMT+1","9","7","7","8","9","9","8","10","8","9","8","6","8","8","8","7","Yes"
"2019/12/06 4:04:33 PM GMT+1","6","6","7","7","5","8","7","10","5","7","7","","7","8","7","3","Yes"
"2019/12/06 4:05:26 PM GMT+1","8","7","5","7","7","9","8","9","7","7","5","5","8","9","9","6","Yes"
"2019/12/06 4:05:26 PM GMT+1","8","8","7","8","7","9","7","10","7","8","6","5","8","9","8","6","Yes"
"2019/12/06 4:05:43 PM GMT+1","7","6","6","7","7","9","8","10","8","7","7","","8","9","8","6","Yes"
"2019/12/06 4:06:36 PM GMT+1","8","7","7","7","8","9","8","10","7","8","7","4","9","9","9","6","Yes"
"2019/12/06 4:07:23 PM GMT+1","8","8","8","8","8","9","9","9","8","8","8","","9","10","10","7","Yes"
"2019/12/06 4:08:06 PM GMT+1","7","7","7","7","7","8","7","9","7","7","7","6","7","7","8","4","Yes"
"2019/12/06 4:08:25 PM GMT+1","7","7","7","7","7","8","7","9","7","7","7","6","7","8","7","5","Yes"
"2019/12/06 4:08:36 PM GMT+1","9","8","8","9","9","9","8","10","9","9","8","5","9","9","9","7","Yes"
"2019/12/06 4:09:28 PM GMT+1","7","6","7","7","6","6","8","9","7","8","7","6","8","8","9","7","Yes"
"2019/12/06 4:11:45 PM GMT+1","6","8","6","7","6","8","7","8","6","6","6","6","7","7","8","1","Yes"
"2019/12/06 4:12:09 PM GMT+1","7","7","7","7","7","8","8","9","7","7","6","6","8","8","8","5","Yes"
"2019/12/06 4:12:49 PM GMT+1","6","6","6","8","7","7","7","9","7","7","6","6","8","8","8","5","Yes"
"2019/12/06 4:13:09 PM GMT+1","7","7","7","7","7","8","8","9","7","7","7","7","8","9","9","4","Yes"
"2019/12/06 4:13:32 PM GMT+1","6","6","6","8","7","10","9","10","8","7","7","4","8","8","9","6","Yes"
"2019/12/06 4:13:55 PM GMT+1","7","8","8","9","8","8","9","10","8","8","7","6","9","10","9","5","Yes"
"2019/12/06 4:14:03 PM GMT+1","7","7","6","7","7","8","7","8","7","7","6","4","8","8","7","5","Yes"
"2019/12/06 4:14:23 PM GMT+1","8","6","7","8","8","8","7","9","7","6","6","","7","8","7","5","Yes"
"2019/12/06 4:14:37 PM GMT+1","8","7","7","8","8","8","8","10","8","7","6","5","9","10","9","3","Yes"
"2019/12/06 4:15:03 PM GMT+1","7","7","7","9","7","10","7","9","7","7","7","6","8","8","9","3","Yes"
"2019/12/06 4:15:17 PM GMT+1","8","7","8","8","7","9","9","9","8","7","7","6","9","9","9","4","Yes"
"2019/12/06 4:15:56 PM GMT+1","8","6","6","7","8","9","8","9","8","7","7","1","8","8","8","5","Yes"
"2019/12/06 4:16:13 PM GMT+1","6","7","6","8","7","9","8","9","7","7","7","6","7","7","8","6","Yes"
"2019/12/06 4:16:25 PM GMT+1","7","6","6","6","7","8","7","9","6","6","6","","7","7","7","5","Yes"
"2019/12/06 4:17:39 PM GMT+1","7","7","6","7","7","8","8","9","7","6","6","5","7","8","10","7","Yes"
"2019/12/06 4:22:51 PM GMT+1","7","7","6","8","8","8","9","10","8","7","7","5","9","9","9","6","Yes"
"2019/12/06 4:22:51 PM GMT+1","7","7","6","8","8","8","8","8","7","7","7","","8","7","8","5",""
"2019/12/06 4:23:45 PM GMT+1","7","7","6","7","7","9","8","9","6","6","6","","8","7","8","6","Yes"
"2019/12/06 4:24:02 PM GMT+1","7","6","6","8","6","9","7","9","7","7","6","","8","8","8","4","Yes"
"2019/12/06 4:24:55 PM GMT+1","8","6","8","9","8","9","8","10","8","8","7","6","9","9","10","6","Yes"
"2019/12/06 4:25:55 PM GMT+1","9","7","6","8","9","9","9","9","8","7","7","","9","9","10","6","Yes"
"2019/12/06 4:26:25 PM GMT+1","8","7","7","7","7","9","8","10","7","7","7","6","8","7","8","4","Yes"
"2019/12/06 4:26:37 PM GMT+1","8","6","7","7","7","7","7","10","7","6","5","3","7","8","9","4","Yes"
"2019/12/06 4:28:12 PM GMT+1","6","6","5","8","7","9","8","9","6","7","6","5","8","9","7","4",""
"2019/12/06 4:29:10 PM GMT+1","6","7","6","7","7","8","6","9","5","6","6","","7","7","7","5","Yes"
