"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 6:15:37 PM GMT+1","7","10","8","8","9","8","10","9","7","7","10","6","9","10","10","6","No"
"2019/12/29 6:15:55 PM GMT+1","8","10","8","8","8","8","9","8","8","9","9","8","9","10","9","5","No"
"2019/12/29 6:16:01 PM GMT+1","8","9","8","7","6","7","7","9","7","8","9","6","8","7","7","7",""
"2019/12/29 6:16:29 PM GMT+1","7","8","8","8","7","7","8","8","7","7","8","5","7","7","7","2","No"
"2019/12/29 6:16:45 PM GMT+1","8","8","7","7","7","7","7","7","8","8","8","","9","8","9","6","No"
"2019/12/29 6:17:40 PM GMT+1","8","9","8","9","8","7","8","8","7","9","8","7","7","9","7","3","No"
"2019/12/29 6:18:02 PM GMT+1","8","7","7","7","8","9","9","9","7","7","9","5","7","8","7","3","No"
"2019/12/29 6:20:29 PM GMT+1","6","8","8","7","8","6","7","8","8","7","8","7","8","8","9","3","Yes"
"2019/12/29 6:20:38 PM GMT+1","7","8","7","7","7","7","8","8","7","8","8","","10","10","9","5","No"
"2019/12/29 6:21:07 PM GMT+1","8","9","9","9","8","8","9","9","8","8","9","7","8","10","10","2","No"
"2019/12/29 6:21:31 PM GMT+1","8","8","8","9","6","7","8","8","8","6","8","6","6","8","7","3","No"
"2019/12/29 6:21:52 PM GMT+1","8","9","7","7","8","7","9","8","7","6","8","","8","10","8","4","No"
"2019/12/29 6:22:14 PM GMT+1","6","8","7","7","6","6","7","7","6","6","7","5","7","7","6","3","No"
"2019/12/29 6:22:55 PM GMT+1","8","8","7","9","7","7","9","7","8","7","8","5","8","6","6","5","Yes"
"2019/12/29 6:23:28 PM GMT+1","7","8","7","7","7","7","8","7","7","7","7","5","7","7","7","2","No"
"2019/12/29 6:23:38 PM GMT+1","8","9","9","9","7","7","9","8","8","8","8","7","9","10","8","4","No"
"2019/12/29 6:23:44 PM GMT+1","8","9","7","8","6","7","6","9","8","9","9","","9","10","8","2","No"
"2019/12/29 6:23:54 PM GMT+1","8","8","8","7","7","7","9","8","8","8","9","7","9","9","9","3",""
"2019/12/29 6:24:10 PM GMT+1","8","8","7","7","7","7","8","9","7","8","8","6","9","10","9","1","No"
"2019/12/29 6:24:16 PM GMT+1","8","10","9","8","8","8","9","9","9","8","9","","9","9","10","4","No"
"2019/12/29 6:25:09 PM GMT+1","7","7","7","8","7","6","7","6","7","7","8","","8","10","7","4","No"
"2019/12/29 6:25:42 PM GMT+1","7","8","7","7","7","6","6","7","7","7","7","5","7","7","7","4","No"
"2019/12/29 6:26:07 PM GMT+1","7","8","7","7","6","6","7","8","6","7","8","","8","9","9","7","No"
"2019/12/29 6:26:14 PM GMT+1","7","8","7","6","6","7","8","8","7","7","8","5","7","7","7","4","No"
"2019/12/29 6:27:05 PM GMT+1","8","9","8","9","7","8","9","9","8","9","8","4","8","9","9","3","No"
"2019/12/29 6:27:10 PM GMT+1","7","8","8","7","7","6","8","6","7","7","7","6","8","8","8","5","Yes"
"2019/12/29 6:27:19 PM GMT+1","8","8","8","9","8","8","9","8","8","8","9","6","9","9","9","3","No"
"2019/12/29 6:27:37 PM GMT+1","8","9","8","8","7","7","8","8","9","9","9","5","8","10","10","7","Yes"
"2019/12/29 6:29:09 PM GMT+1","6","7","7","6","6","6","8","7","7","6","7","6","7","10","7","4","No"
"2019/12/29 6:29:43 PM GMT+1","8","9","8","8","8","8","8","8","9","8","8","7","9","7","8","2","No"
"2019/12/29 6:30:06 PM GMT+1","5","7","6","5","5","5","9","8","7","7","7","","6","6","9","4","No"
"2019/12/29 6:30:11 PM GMT+1","7","8","7","8","8","8","8","8","8","9","9","6","9","9","8","6","Yes"
"2019/12/29 6:30:13 PM GMT+1","7","8","8","7","4","7","7","8","8","8","9","4","10","10","10","5","No"
"2019/12/29 6:30:24 PM GMT+1","7","8","8","7","7","6","7","7","7","8","8","6","7","8","8","4","No"
"2019/12/29 6:30:59 PM GMT+1","7","8","6","7","7","7","9","7","8","7","7","4","7","9","8","4","No"
"2019/12/29 6:30:59 PM GMT+1","8","7","8","8","7","6","7","6","7","5","8","5","8","10","7","5","No"
"2019/12/29 6:32:43 PM GMT+1","7","8","7","6","7","6","8","8","7","8","7","","8","10","7","3","No"
"2019/12/29 6:33:46 PM GMT+1","7","7","7","7","6","5","6","6","6","7","8","","7","8","7","2","No"
"2019/12/29 6:33:49 PM GMT+1","7","7","7","7","7","5","6","7","8","7","7","","8","9","10","5","No"
"2019/12/29 6:33:51 PM GMT+1","8","9","8","8","6","7","8","8","7","8","8","5","8","9","7","3","Yes"
"2019/12/29 6:33:56 PM GMT+1","7","10","8","8","8","8","10","8","8","9","9","","8","10","8","3","No"
"2019/12/29 6:34:28 PM GMT+1","7","8","7","7","7","7","8","7","7","7","8","6","8","8","8","5","No"
"2019/12/29 6:34:40 PM GMT+1","7","7","8","7","7","7","8","7","7","8","7","","7","7","8","4","No"
"2019/12/29 6:34:55 PM GMT+1","7","9","7","8","7","7","8","7","8","8","7","6","8","8","9","5","No"
"2019/12/29 6:37:00 PM GMT+1","6","8","6","5","7","7","8","9","8","7","8","","8","8","6","4","No"
"2019/12/29 6:37:00 PM GMT+1","6","8","7","9","8","7","8","7","7","8","8","","7","8","7","2","No"
"2019/12/29 6:37:06 PM GMT+1","8","9","7","8","8","6","9","8","9","8","8","6","9","9","9","1","No"
"2019/12/29 6:37:23 PM GMT+1","8","9","8","8","7","8","10","7","7","9","9","5","9","10","9","2","No"
"2019/12/29 6:37:32 PM GMT+1","7","8","8","8","9","5","6","8","6","8","8","5","9","10","6","2","No"
"2019/12/29 6:37:58 PM GMT+1","7","8","9","9","7","7","10","5","8","7","10","3","8","10","8","1","Yes"
"2019/12/29 6:39:05 PM GMT+1","6","7","7","7","7","7","8","7","6","6","8","4","7","8","7","1",""
"2019/12/29 6:40:25 PM GMT+1","7","8","7","8","7","6","8","7","7","8","8","","8","8","8","1","No"
"2019/12/29 6:40:56 PM GMT+1","8","9","9","8","7","8","8","7","8","8","7","7","9","10","9","5","No"
"2019/12/29 6:41:00 PM GMT+1","8","9","7","7","8","7","8","9","7","9","8","5","8","8","8","6","Yes"
"2019/12/29 6:41:05 PM GMT+1","8","8","8","7","7","7","9","8","9","8","8","6","8","8","9","5","No"
"2019/12/29 6:41:21 PM GMT+1","5","8","8","10","7","7","7","8","9","9","9","","9","8","10","6","No"
"2019/12/29 6:42:35 PM GMT+1","8","10","8","7","9","7","8","7","7","6","8","6","8","9","9","7","No"
"2019/12/29 6:42:42 PM GMT+1","7","8","7","7","7","7","8","7","7","7","7","5","9","8","7","1","No"
"2019/12/29 6:43:20 PM GMT+1","7","9","8","8","8","6","10","9","8","8","9","","8","7","9","1","No"
"2019/12/29 6:43:59 PM GMT+1","9","8","9","8","9","7","10","9","9","9","9","7","10","10","10","6","Yes"
"2019/12/29 6:46:04 PM GMT+1","8","10","9","8","8","7","8","9","8","10","9","7","10","8","10","6","No"
"2019/12/29 6:46:09 PM GMT+1","9","9","10","10","9","8","9","9","8","9","9","6","9","10","10","1","No"
"2019/12/29 6:46:39 PM GMT+1","7","8","6","7","6","5","8","7","7","7","7","5","8","8","7","2","No"
"2019/12/29 6:46:49 PM GMT+1","7","8","7","7","7","8","9","7","8","7","8","5","7","7","7","3","No"
"2019/12/29 6:47:03 PM GMT+1","7","8","6","6","6","6","6","7","7","6","7","4","5","8","6","3","No"
"2019/12/29 6:47:43 PM GMT+1","6","8","6","7","5","6","7","7","6","5","8","5","8","8","7","5","Yes"
"2019/12/29 6:48:15 PM GMT+1","7","8","7","7","7","8","7","8","8","8","9","","8","9","9","4","No"
"2019/12/29 6:48:58 PM GMT+1","7","9","8","8","7","7","8","6","7","7","8","5","8","10","7","1","No"
