"Timestamp","De Gea","Williams","Maguire","Lindelof","AWB","Fred","Matic","Rashford","Pereira","Mata","Martial","James (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Norwich","Did the ref/VAR do a good job?"
"2020/01/12 8:04:21 PM GMT+1","8","8","7","7","6","7","7","10","5","9","8","5","8","9","7","6","3","Yes"
"2020/01/12 8:04:34 PM GMT+1","8","8","7","6","7","7","7","9","7","8","8","7","8","7","9","7","5","Yes"
"2020/01/12 8:04:48 PM GMT+1","7","8","7","7","7","8","8","9","7","9","7","6","7","8","9","8","2","Yes"
"2020/01/12 8:06:21 PM GMT+1","8","8","7","7","7","7","7","9","7","9","8","","8","9","9","8","2","Yes"
"2020/01/12 8:06:47 PM GMT+1","10","10","10","10","10","10","10","10","7","10","9","8","10","10","10","10","1","Yes"
"2020/01/12 8:07:06 PM GMT+1","7","8","7","6","6","7","7","8","6","9","7","6","8","8","9","6","1","Yes"
"2020/01/12 8:07:11 PM GMT+1","8","9","8","8","8","9","8","9","8","9","8","","","9","10","10","1","Yes"
"2020/01/12 8:07:31 PM GMT+1","8","8","7","7","6","7","7","9","7","9","8","","9","9","10","8","3","Yes"
"2020/01/12 8:09:02 PM GMT+1","8","9","9","9","8","10","9","10","9","9","8","7","8","10","10","9","1","No"
"2020/01/12 8:09:43 PM GMT+1","6","8","6","6","7","7","6","8","5","9","7","6","9","8","10","7","1","Yes"
"2020/01/12 8:09:58 PM GMT+1","7","8","6","6","7","7","7","7","4","8","8","6","7","7","8","7","3","Yes"
"2020/01/12 8:10:07 PM GMT+1","6","8","7","7","6","7","6","10","6","8","9","","8","9","10","8","4","Yes"
"2020/01/12 8:10:12 PM GMT+1","8","7","7","7","8","8","7","10","7","9","7","","8","7","10","7","1","Yes"
"2020/01/12 8:10:29 PM GMT+1","8","9","7","7","7","8","8","10","9","10","8","6","9","9","10","9","3","Yes"
