"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/27 3:53:53 AM GMT+2","8","9","8","8","7","8","7","8","10","7","7","5","6","6","7","9","8","8","Yes"
"2020/02/27 4:10:16 AM GMT+2","6","9","6","6","6","7","7","7","10","8","8","6","4","5","8","10","6","2","Yes"
"2020/02/27 4:10:49 AM GMT+2","6","7","6","6","6","6","7","7","8","7","7","","","","7","8","8","5",""
"2020/02/27 4:13:58 AM GMT+2","8","7","8","7","7","7","8","7","10","8","8","7","5","5","8","8","10","5","Yes"
"2020/02/27 4:17:57 AM GMT+2","7","7","7","7","7","7","7","7","8","7","7","6","6","6","8","9","8","5","Yes"
"2020/02/27 4:18:46 AM GMT+2","8","10","7","7","7","9","9","8","10","10","9","","","","9","8","9","7","Yes"
"2020/02/27 4:23:37 AM GMT+2","9","7","8","7","8","8","8","7","9","9","9","","","","9","10","10","5","Yes"
"2020/02/27 4:24:41 AM GMT+2","8","8","8","7","8","9","7","7","9","9","8","","","","8","8","10","6","Yes"
"2020/02/27 4:31:44 AM GMT+2","8","7","7","7","7","5","8","6","9","8","8","6","2","3","6","9","5","3","Yes"
"2020/02/27 4:35:17 AM GMT+2","8","9","8","8","8","8","7","8","9","9","8","7","7","7","8","10","8","6","Yes"
"2020/02/27 4:38:49 AM GMT+2","8","10","8","7","8","6","7","5","9","8","7","","","","7","9","7","4","Yes"
"2020/02/27 4:45:31 AM GMT+2","7","8","7","7","8","7","7","8","10","9","8","","","","8","9","8","4","Yes"
"2020/02/27 4:54:19 AM GMT+2","8","9","9","9","9","10","10","8","9","9","10","8","8","9","10","8","10","4","Yes"
"2020/02/27 5:28:28 AM GMT+2","8","9","9","8","8","9","9","9","10","8","8","7","7","7","8","10","8","6","Yes"
"2020/02/27 5:29:55 AM GMT+2","6","7","7","6","6","6","7","6","8","7","7","6","6","6","7","8","6","5","Yes"
"2020/02/27 5:55:31 AM GMT+2","8","9","8","6","7","7","7","8","10","7","8","8","7","7","9","10","9","7","Yes"
"2020/02/27 6:08:06 AM GMT+2","7","8","7","7","6","7","7","6","10","8","8","","","","8","8","8","3","Yes"
"2020/02/27 6:12:47 AM GMT+2","7","8","6","6","7","7","7","7","9","8","8","","","","7","8","7","5","Yes"
"2020/02/27 6:30:36 AM GMT+2","7","8","7","6","7","6","6","7","9","7","8","6","6","7","7","8","8","6","Yes"
"2020/02/27 6:34:28 AM GMT+2","7","8","7","7","7","8","7","7","9","8","8","7","8","8","8","8","8","8","Yes"
"2020/02/27 6:35:59 AM GMT+2","8","10","7","7","6","8","8","9","9","8","8","","9","","9","9","8","4","Yes"
"2020/02/27 6:45:56 AM GMT+2","7","8","7","7","7","6","6","8","9","8","8","7","6","6","7","8","7","6","Yes"
"2020/02/27 6:56:17 AM GMT+2","7","8","7","7","7","7","6","7","9","9","8","6","5","6","8","9","8","4","Yes"
"2020/02/27 7:00:04 AM GMT+2","6","8","5","5","6","5","5","7","9","7","7","","","","6","10","8","6","Yes"
