"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan Bissaka","Fred","McTominay","Rashford","Bruno Fernandes","Daniel James","Martial","Pogba (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Spurs","Did the ref do a good job?"
"2020/06/21 6:32:03 PM GMT+2","6","7","7","7","7","7","7","6","8","6","6","8","7","7","7","7","4","No"
"2020/06/21 6:33:47 PM GMT+2","5","5","5","6","6","6","7","6","8","4","6","9","8","7","5","6","7","No"
"2020/06/21 6:35:00 PM GMT+2","5","6","5","6","6","6","6","6","7","6","6","8","7","6","6","6","5","No"
"2020/06/21 6:35:25 PM GMT+2","3","5","4","5","4","5","5","6","7","5","5","7","7","6","6","7","5","No"
"2020/06/21 6:36:08 PM GMT+2","5","7","6","5","6","6","6","6","7","6","5","7","6","6","7","7","5","No"
"2020/06/21 6:37:42 PM GMT+2","5","6","5","5","7","7","7","6","9","7","6","8","8","7","6","8","5","Yes"
"2020/06/21 6:38:14 PM GMT+2","5","5","6","6","6","5","6","6","9","5","5","9","8","7","6","7","5","No"
"2020/06/21 6:38:53 PM GMT+2","4","5","5","6","6","5","6","7","8","5","5","7","7","7","7","7","6","Yes"
"2020/06/21 6:39:33 PM GMT+2","5","5","4","5","5","5","5","4","6","3","3","7","6","5","5","5","4","No"
"2020/06/21 6:41:18 PM GMT+2","5","9","7","7","9","6","6","7","9","5","3","10","9","7","7","6","5","No"
"2020/06/21 6:42:37 PM GMT+2","5","6","5","6","6","6","6","5","7","5","5","9","8","6","6","6","6","No"
"2020/06/21 6:44:04 PM GMT+2","3","4","5","4","5","5","4","4","6","4","3","7","6","4","3","5","4","Yes"
"2020/06/21 6:45:25 PM GMT+2","4","8","5","7","6","6","7","6","8","4","6","9","6","7","5","6","4","No"
"2020/06/21 6:46:36 PM GMT+2","3","4","5","5","5","4","4","7","8","4","7","9","8","8","2","5","1","No"
"2020/06/21 6:47:26 PM GMT+2","6","7","8","8","8","9","9","6","10","5","5","10","8","8","7","8","7","No"
"2020/06/21 6:48:43 PM GMT+2","4","5","5","5","5","5","6","5","6","4","4","7","6","4","1","5","2","No"
"2020/06/21 6:50:07 PM GMT+2","3","5","5","5","5","5","5","4","7","5","5","7","7","5","5","6","5","No"
"2020/06/21 6:50:33 PM GMT+2","3","4","4","6","5","5","5","5","7","4","6","7","7","4","4","6","4","No"
