"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Man City","Did the ref/VAR do a good job? (optional) (please be unbiased)"
"2019/12/08 3:52:34 PM GMT+1","8","8","7","8","9","9","9","10","8","8","9","5","9","10","10","7","Yes"
"2019/12/08 3:53:16 PM GMT+1","9","7","7","9","10","8","8","8","8","9","8","5","8","10","9","6","Yes"
"2019/12/08 3:53:35 PM GMT+1","8","7","7","8","9","9","8","9","7","8","8","","8","9","9","5","Yes"
"2019/12/08 3:53:37 PM GMT+1","8","6","7","7","10","8","9","8","7","6","8","5","8","7","7","6","Yes"
"2019/12/08 3:54:23 PM GMT+1","8","7","6","8","9","9","7","8","7","8","7","7","9","9","8","1","Yes"
"2019/12/08 3:54:35 PM GMT+1","9","9","8","8","10","10","9","8","7","8","8","6","9","10","10","6","Yes"
"2019/12/08 3:55:16 PM GMT+1","9","9","8","9","10","10","9","8","8","9","9","8","9","8","8","6","Yes"
"2019/12/08 3:55:29 PM GMT+1","8","8","8","8","10","9","9","9","8","8","9","7","10","10","10","5","Yes"
"2019/12/08 3:55:51 PM GMT+1","9","9","7","7","10","9","9","10","7","8","9","8","9","10","10","1","Yes"
"2019/12/08 3:56:17 PM GMT+1","9","7","7","8","9","8","8","10","9","9","9","","8","10","9","7","Yes"
"2019/12/08 3:56:19 PM GMT+1","9","7","9","9","10","10","9","10","7","9","7","3","9","8","9","3","Yes"
"2019/12/08 3:56:29 PM GMT+1","10","9","9","9","10","9","9","9","8","10","8","4","10","10","10","4","Yes"
"2019/12/08 3:56:45 PM GMT+1","9","8","8","9","10","9","8","9","8","8","8","7","7","8","9","5","Yes"
"2019/12/08 3:57:17 PM GMT+1","8","8","9","9","10","10","10","10","9","10","10","8","10","10","10","1","Yes"
"2019/12/08 3:57:27 PM GMT+1","8","7","7","8","9","8","7","8","7","7","7","5","8","10","9","6","Yes"
"2019/12/08 3:57:33 PM GMT+1","8","6","7","7","7","9","8","9","8","8","8","7","7","10","10","7","Yes"
"2019/12/08 3:57:38 PM GMT+1","8","8","8","9","10","9","9","9","8","8","8","","10","8","9","5","Yes"
"2019/12/08 3:59:20 PM GMT+1","9","7","9","10","10","10","9","10","8","8","9","8","10","9","10","6","Yes"
