"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 8:47:29 PM GMT+1","4","5","5","5","6","6","6","4","3","6","6","4","5","3","1","4","5","No"
"2019/08/25 8:47:39 PM GMT+1","3","5","6","5","6","6","7","5","3","7","7","7","4","4","1","6","4","No"
"2019/08/25 8:47:50 PM GMT+1","4","5","5","4","4","6","7","5","4","6","6","5","5","4","1","4","7","No"
"2019/08/25 8:48:11 PM GMT+1","3","5","6","5","7","5","6","5","4","6","6","5","4","4","2","4","7","No"
"2019/08/25 8:49:51 PM GMT+1","5","6","8","7","6","6","8","8","6","6","9","7","6","5","4","5","4","No"
"2019/08/25 8:50:24 PM GMT+1","4","6","6","5","7","6","8","6","4","7","5","4","3","3","1","4","5","No"
"2019/08/25 8:50:43 PM GMT+1","1","1","4","1","2","2","2","2","1","3","1","1","1","1","1","1","2",""
"2019/08/25 8:51:15 PM GMT+1","4","5","7","3","6","4","7","8","2","8","8","9","2","6","3","6","6","No"
"2019/08/25 8:51:18 PM GMT+1","3","5","5","2","4","4","6","6","2","6","9","6","4","5","1","5","8","No"
"2019/08/25 8:51:24 PM GMT+1","4","5","5","5","5","5","5","5","4","5","6","4","4","5","1","5","7","No"
"2019/08/25 8:53:36 PM GMT+1","4","7","5","6","7","5","6","6","3","7","7","4","5","5","3","4","5","No"
"2019/08/25 8:53:58 PM GMT+1","1","4","4","2","6","4","6","4","3","7","6","6","3","3","1","4","7","No"
"2019/08/25 8:56:46 PM GMT+1","4","6","6","5","6","5","6","4","4","4","4","3","4","4","3","4","6","No"
"2019/08/25 8:56:58 PM GMT+1","4","6","5","5","6","6","7","7","6","8","8","6","5","6","3","7","4","No"
"2019/08/25 8:57:08 PM GMT+1","4","6","6","5","6","5","6","4","4","4","4","3","4","4","3","4","6","No"
"2019/08/25 8:57:34 PM GMT+1","3","5","6","3","5","5","6","5","2","4","5","3","2","4","4","3","5","No"
"2019/08/25 8:57:47 PM GMT+1","4","6","4","3","5","6","6","5","5","7","5","6","4","4","1","6","2","No"
"2019/08/25 8:59:04 PM GMT+1","3","5","5","4","7","4","7","5","2","5","7","7","5","3","1","3","7","No"
"2019/08/25 8:59:08 PM GMT+1","3","5","5","4","7","4","7","5","2","5","7","7","5","3","1","3","7","No"
"2019/08/25 8:59:30 PM GMT+1","2","6","7","2","7","6","7","5","3","8","8","6","6","5","1","3","5","No"
"2019/08/25 9:00:24 PM GMT+1","3","3","6","5","6","7","7","6","1","7","5","7","5","3","1","4","1","No"
"2019/08/25 9:00:53 PM GMT+1","3","6","5","5","5","5","5","5","4","5","6","6","5","3","1","4","6","No"
"2019/08/25 9:01:05 PM GMT+1","6","6","7","6","8","8","7","6","5","8","7","5","5","7","2","7","6","No"
"2019/08/25 9:01:31 PM GMT+1","2","5","6","3","6","5","6","5","4","7","6","5","4","3","1","2","5","No"
