"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Nemanja Matic","Fred","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Arsenal","Did the ref/VAR do a good job? (optional) be unbiased please"
"2020/01/02 10:53:27 PM GMT+1","5","2","3","6","6","3","8","5","1","7","7","6","6","1","1","1","7","No"
"2020/01/02 10:54:54 PM GMT+1","4","2","5","4","4","6","7","2","1","3","5","4","2","1","1","2","6","Yes"
"2020/01/02 10:57:41 PM GMT+1","4","4","3","3","4","4","5","4","1","4","4","","","3","1","5","6","Yes"
"2020/01/02 10:57:43 PM GMT+1","5","3","3","4","5","5","6","4","2","3","3","4","6","4","2","4","8","Yes"
"2020/01/02 10:57:54 PM GMT+1","6","4","5","6","6","5","7","5","3","5","6","","","3","3","5","7","Yes"
"2020/01/02 10:59:42 PM GMT+1","4","4","4","4","5","5","7","5","3","4","5","5","6","3","2","3","6","No"
"2020/01/02 11:01:10 PM GMT+1","6","2","5","4","6","5","7","5","1","5","6","6","6","3","1","5","5","No"
"2020/01/02 11:01:38 PM GMT+1","5","4","4","5","5","6","7","4","2","4","7","6","6","4","4","4","6",""
"2020/01/02 11:01:44 PM GMT+1","4","3","3","3","3","3","4","1","1","3","4","","","2","1","3","8","Yes"
"2020/01/02 11:04:48 PM GMT+1","5","5","5","5","6","5","8","6","4","5","7","6","6","4","5","6","7","Yes"
"2020/01/02 11:07:00 PM GMT+1","4","4","5","5","5","8","9","3","2","4","8","5","7","3","3","5","7","Yes"
"2020/01/02 11:07:21 PM GMT+1","3","2","4","5","5","6","5","3","1","6","5","4","5","1","1","1","7","Yes"
"2020/01/02 11:07:34 PM GMT+1","4","2","3","4","6","2","7","6","2","5","7","7","6","1","1","2","4","Yes"
"2020/01/02 11:11:04 PM GMT+1","3","2","3","4","5","7","8","4","1","4","5","4","6","1","1","2","7","Yes"
"2020/01/02 11:11:12 PM GMT+1","5","2","3","7","4","5","5","4","1","4","6","","","1","1","1","7","Yes"
"2020/01/02 11:13:45 PM GMT+1","2","2","3","1","9","5","4","6","1","7","6","9","","3","1","2","3","No"
"2020/01/02 11:15:00 PM GMT+1","4","3","3","5","5","6","7","4","3","4","7","5","5","2","3","1","7","No"
"2020/01/02 11:16:32 PM GMT+1","3","1","2","4","6","6","7","2","1","4","6","","","1","1","2","7","No"
