"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Ole","Everton","Did the ref/VAR do a good job? (optional) (try to be unbiased)"
"2019/12/18 1:21:19 AM GMT+1","3","6","6","7","10","7","6","6","5","7","5","8","6","2","6","3","No"
"2019/12/18 1:24:34 AM GMT+1","4","5","6","7","8","8","7","5","3","4","5","8","5","2","5","5","No"
"2019/12/18 1:25:54 AM GMT+1","4","5","7","5","8","7","5","6","4","6","6","7","6","3","5","7","No"
"2019/12/18 1:31:45 AM GMT+1","4","5","6","5","7","7","7","5","6","6","6","8","6","3","8","5","No"
"2019/12/18 1:39:22 AM GMT+1","6","6","6","6","6","5","5","4","4","4","4","7","5","3","5","5","No"
"2019/12/18 1:46:34 AM GMT+1","7","7","7","7","7","8","8","8","7","7","6","8","7","6","7","6","No"
"2019/12/18 1:52:25 AM GMT+1","6","5","8","8","7","9","6","4","5","5","10","6","6","4","6","5","No"
"2019/12/18 1:54:09 AM GMT+1","4","4","6","6","7","6","6","5","4","4","5","8","6","2","6","7","No"
"2019/12/18 2:01:49 AM GMT+1","5","5","6","6","8","6","6","5","6","7","4","8","4","3","5","6","No"
"2019/12/18 2:03:31 AM GMT+1","5","5","6","6","7","5","6","5","2","5","4","7","4","3","4","5","No"
"2019/12/18 2:07:57 AM GMT+1","7","5","6","6","8","8","6","6","5","7","5","9","5","5","6","6","No"
"2019/12/18 2:11:19 AM GMT+1","4","6","9","7","9","7","7","7","4","7","7","9","7","7","7","6","No"
"2019/12/18 2:27:30 AM GMT+1","5","6","6","4","7","6","6","7","5","7","4","7","4","5","5","5","No"
"2019/12/18 2:36:21 AM GMT+1","7","7","4","7","9","3","6","6","7","8","9","","4","2","5","3","No"
"2019/12/18 2:39:01 AM GMT+1","6","6","6","6","8","7","7","7","6","7","6","9","4","2","3","6","No"
"2019/12/18 2:47:27 AM GMT+1","6","6","6","6","6","6","6","6","5","6","5","7","5","4","5","6","No"
"2019/12/18 2:50:25 AM GMT+1","7","7","6","6","7","7","8","8","7","8","7","10","6","6","6","5","No"
"2019/12/18 2:52:23 AM GMT+1","7","7","7","7","8","8","7","7","7","7","7","9","7","6","8","8","No"
"2019/12/18 2:56:55 AM GMT+1","6","6","7","6","9","8","6","4","4","5","4","8","7","3","6","4","No"
"2019/12/18 2:58:02 AM GMT+1","6","6","7","6","8","6","6","6","5","6","6","8","6","3","4","4","No"
"2019/12/18 3:02:14 AM GMT+1","5","6","6","6","7","7","7","7","5","6","6","8","5","4","5","4","No"
"2019/12/18 3:08:13 AM GMT+1","7","5","6","5","7","6","6","6","6","6","6","8","5","3","5","6","No"
"2019/12/18 3:15:11 AM GMT+1","6","5","6","6","7","6","5","6","4","6","5","8","6","6","6","6","No"
"2019/12/18 3:21:55 AM GMT+1","3","5","7","7","8","5","6","6","4","5","5","8","5","4","7","6","Yes"
"2019/12/18 3:25:37 AM GMT+1","5","5","5","5","7","6","5","5","3","6","5","7","5","5","5","5","Yes"
"2019/12/18 3:29:13 AM GMT+1","5","6","7","6","8","7","6","6","7","7","3","9","5","3","3","4","No"
"2019/12/18 3:31:25 AM GMT+1","7","6","6","6","9","7","6","7","6","7","6","8","7","3","5","7","No"
"2019/12/18 3:31:38 AM GMT+1","5","6","7","4","8","6","6","5","5","6","6","8","6","4","7","7","No"
"2019/12/18 3:40:05 AM GMT+1","6","5","5","6","7","7","6","6","5","6","6","8","5","6","6","6","No"
"2019/12/18 4:07:15 AM GMT+1","5","5","5","5","6","6","7","7","5","5","4","8","5","4","5","5","No"
"2019/12/18 4:33:26 AM GMT+1","7","6","6","6","8","7","7","8","4","8","7","9","7","6","6","6","No"
"2019/12/18 4:40:02 AM GMT+1","6","6","8","7","8","8","8","6","6","7","6","8","6","6","7","7","No"
"2019/12/18 4:56:01 AM GMT+1","5","6","6","4","6","6","6","5","5","5","5","7","5","4","5","7","No"
"2019/12/18 5:00:02 AM GMT+1","7","5","5","6","6","7","6","6","5","5","3","8","4","4","4","6","No"
"2019/12/18 5:04:32 AM GMT+1","4","4","6","6","5","5","4","3","4","5","4","7","3","1","5","7","No"
"2019/12/18 5:06:22 AM GMT+1","4","5","6","5","7","7","6","6","6","6","2","9","3","2","7","10","No"
"2019/12/18 5:13:58 AM GMT+1","6","6","6","6","6","6","6","6","6","6","6","8","6","4","6","6","No"
"2019/12/18 5:22:18 AM GMT+1","7","8","8","8","8","9","7","6","6","7","7","8","6","5","7","5","No"
"2019/12/18 5:29:01 AM GMT+1","7","7","5","7","6","8","7","5","4","6","4","7","5","3","7","4","No"
"2019/12/18 5:36:47 AM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","6","No"
"2019/12/18 5:40:02 AM GMT+1","2","1","3","3","6","4","3","4","1","6","4","10","4","4","3","3","No"
"2019/12/18 5:49:26 AM GMT+1","5","5","4","4","7","7","6","6","4","5","5","7","4","3","6","4","No"
"2019/12/18 5:54:45 AM GMT+1","5","6","6","6","7","6","6","6","5","6","6","7","5","4","7","5","No"
