"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 9:30:04 PM GMT+2","5","6","8","6","6","6","8","6","6","5","6","6","7","4","4","4","8","No"
"2020/03/02 9:31:15 PM GMT+2","6","7","8","7","7","6","7","6","7","6","6","","","6","5","7","7","No"
"2020/03/02 9:31:55 PM GMT+2","6","8","10","8","8","8","9","7","9","7","4","6","7","7","7","7","7","Yes"
"2020/03/02 9:32:12 PM GMT+2","7","7","6","5","7","6","6","6","8","4","5","","","6","5","5","8","No"
"2020/03/02 9:35:39 PM GMT+2","4","6","8","6","7","7","8","6","8","4","5","7","7","5","3","5","6","No"
"2020/03/02 9:36:21 PM GMT+2","5","6","9","5","5","7","5","6","9","7","6","9","","5","4","6","8","No"
"2020/03/02 9:36:36 PM GMT+2","7","8","9","7","7","8","8","8","9","6","6","7","","7","4","6","8","No"
"2020/03/02 9:37:11 PM GMT+2","4","5","7","4","3","7","7","6","8","4","1","7","6","3","1","5","5","No"
"2020/03/02 9:37:35 PM GMT+2","6","7","8","6","6","7","8","8","9","4","5","4","4","5","5","6","4","No"
"2020/03/02 9:37:55 PM GMT+2","4","5","8","3","4","7","7","6","8","5","4","5","4","4","5","5","6","No"
"2020/03/02 9:38:09 PM GMT+2","4","7","7","6","7","8","7","7","9","6","6","","","6","4","8","6","No"
"2020/03/02 9:38:45 PM GMT+2","5","6","8","4","6","6","7","6","8","5","4","8","7","4","4","6","9","Yes"
"2020/03/02 9:39:46 PM GMT+2","4","8","8","7","7","8","8","7","9","5","8","8","8","7","6","6","7","No"
"2020/03/02 9:39:53 PM GMT+2","3","10","9","3","8","3","4","8","9","6","5","4","5","4","3","10","8","Yes"
"2020/03/02 9:46:09 PM GMT+2","5","7","7","7","7","7","9","6","8","6","4","","","6","5","5","3","No"
"2020/03/02 9:47:05 PM GMT+2","6","7","8","5","7","8","8","7","9","6","4","6","7","7","5","6","4","No"
"2020/03/02 9:47:25 PM GMT+2","6","7","9","6","8","8","8","7","9","6","5","7","6","6","6","6","7","No"
"2020/03/02 9:48:35 PM GMT+2","3","6","8","4","5","5","6","5","7","4","4","","","5","5","5","6","No"
"2020/03/02 9:48:36 PM GMT+2","3","7","9","6","7","7","7","7","8","3","2","7","7","5","4","4","6","No"
"2020/03/02 9:49:45 PM GMT+2","5","7","7","6","7","8","6","6","8","6","6","7","7","7","7","8","8","Yes"
"2020/03/02 9:53:33 PM GMT+2","6","7","8","6","7","6","6","5","8","5","4","","","6","6","6","8","No"
"2020/03/02 9:54:51 PM GMT+2","5","9","9","7","7","8","8","7","9","4","4","6","6","7","7","7","8","No"
"2020/03/02 9:55:53 PM GMT+2","4","7","9","4","6","7","8","6","8","5","5","5","5","6","4","6","5","No"
"2020/03/02 9:59:41 PM GMT+2","4","6","9","5","6","7","7","7","8","6","4","5","5","6","4","4","5","No"
"2020/03/02 10:00:20 PM GMT+2","3","6","7","6","8","8","7","6","9","8","7","10","8","7","6","10","8","Yes"
"2020/03/02 10:02:47 PM GMT+2","6","7","9","6","7","7","6","7","9","6","6","","","6","5","6","5","No"
"2020/03/02 10:04:05 PM GMT+2","4","6","8","6","6","7","7","7","10","5","5","7","7","7","1","7","5","No"
"2020/03/02 10:04:22 PM GMT+2","5","6","6","6","7","9","7","7","9","6","6","5","6","7","5","7","8","No"
"2020/03/02 10:04:43 PM GMT+2","5","6","5","6","9","7","9","9","10","7","6","6","5","6","2","5","7","No"
"2020/03/02 10:09:42 PM GMT+2","7","7","7","6","6","7","7","6","8","6","5","6","6","5","5","4","5","No"
"2020/03/02 10:09:42 PM GMT+2","5","6","8","6","6","7","8","6","8","5","5","6","5","6","6","5","7","No"
"2020/03/02 10:10:00 PM GMT+2","5","6","8","6","6","6","6","6","8","6","6","","","6","5","6","7","No"
"2020/03/02 10:11:59 PM GMT+2","6","5","7","5","6","6","7","6","8","4","5","","","6","5","6","7","No"
"2020/03/02 10:18:46 PM GMT+2","5","7","5","8","8","8","6","6","8","5","4","","","7","10","5","5","No"
"2020/03/02 10:19:05 PM GMT+2","5","6","7","5","6","6","7","7","8","6","5","","","6","6","7","6","No"
"2020/03/02 10:20:04 PM GMT+2","6","6","9","7","6","8","8","7","8","7","7","","","5","3","6","7","No"
"2020/03/02 10:20:33 PM GMT+2","6","6","9","5","6","4","6","5","8","5","6","","","5","5","5","7","No"
"2020/03/02 10:22:17 PM GMT+2","5","7","8","5","6","5","6","6","8","4","5","","","6","5","6","7","Yes"
"2020/03/02 10:23:04 PM GMT+2","5","6","8","6","6","7","6","6","7","6","5","","","6","5","5","7","No"
"2020/03/02 10:26:31 PM GMT+2","5","7","7","7","7","8","8","7","10","7","6","6","6","7","5","7","1","No"
"2020/03/02 10:28:13 PM GMT+2","6","7","7","6","8","8","7","6","8","6","6","7","","6","6","6","7","No"
