"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Bruno","Rashford","Greenwood","Martial","Fred","Williams (you are free not to vote)","Team Performance","Final Result","Ole","Southampton","Did the ref do a good job?"
"2020/07/14 8:48:07 PM GMT+2","6","6","6","8","6","5","7","4","6","4","7","6","5","5","3","6","7","No"
"2020/07/14 8:49:31 PM GMT+2","8","9","8","8","7","7","7","7","9","7","8","6","","7","4","7","8","No"
"2020/07/14 8:50:06 PM GMT+2","7","7","6","7","5","5","6","6","7","6","8","6","7","5","2","6","8","No"
"2020/07/14 8:50:33 PM GMT+2","6","7","5","8","5","6","5","6","8","6","9","5","5","6","4","7","8","No"
"2020/07/14 8:50:38 PM GMT+2","6","8","6","8","5","7","6","6","9","5","8","6","","7","5","8","6","No"
"2020/07/14 8:50:49 PM GMT+2","7","7","4","7","3","2","5","3","6","3","8","5","5","4","4","5","9","No"
"2020/07/14 8:51:20 PM GMT+2","6","7","7","7","7","5","6","5","7","6","8","6","","5","4","7","8","Yes"
"2020/07/14 8:51:30 PM GMT+2","6","7","6","8","7","6","6","7","7","6","8","6","6","5","1","6","8","No"
"2020/07/14 8:52:29 PM GMT+2","4","5","4","5","5","4","5","5","6","5","6","4","7","6","1","9","9","No"
"2020/07/14 8:52:42 PM GMT+2","8","8","6","9","6","6","7","7","7","6","9","7","","7","1","7","5","Yes"
"2020/07/14 8:52:43 PM GMT+2","7","8","5","6","5","5","5","5","7","4","9","6","","5","4","4","7","No"
"2020/07/14 8:52:55 PM GMT+2","6","7","5","7","7","6","5","7","7","5","8","6","","6","5","6","9","Yes"
"2020/07/14 8:53:27 PM GMT+2","7","7","6","6","5","5","6","6","7","6","8","6","6","6","4","4","7","No"
"2020/07/14 8:55:03 PM GMT+2","8","8","9","9","6","5","8","7","8","4","9","8","","7","7","8","8","No"
"2020/07/14 8:56:04 PM GMT+2","7","7","7","8","7","5","7","6","8","7","9","7","7","7","6","7","8","No"
"2020/07/14 8:56:37 PM GMT+2","8","8","6","9","3","5","8","7","7","6","9","6","","6","1","5","6","No"
"2020/07/14 8:56:43 PM GMT+2","8","8","6","8","7","7","6","6","8","7","9","8","","7","7","7","6","No"
"2020/07/14 8:57:59 PM GMT+2","6","7","3","5","4","4","4","5","8","5","9","5","7","4","4","6","5","No"
"2020/07/14 8:58:19 PM GMT+2","7","8","4","6","6","6","6","4","8","4","9","5","","3","2","7","8","No"
"2020/07/14 8:58:22 PM GMT+2","8","7","6","6","7","5","6","7","8","6","8","5","","6","4","7","8","No"
"2020/07/14 8:59:16 PM GMT+2","8","7","6","7","6","7","5","6","7","6","8","","","6","5","4","7","No"
"2020/07/14 9:01:08 PM GMT+2","7","7","6","6","5","7","6","7","7","5","7","6","","5","3","5","7","No"
"2020/07/14 9:02:40 PM GMT+2","7","7","6","8","5","6","5","5","8","6","7","6","","6","5","6","8","No"
"2020/07/14 9:04:21 PM GMT+2","8","8","6","7","7","5","5","6","7","6","9","7","7","5","6","8","9","Yes"
"2020/07/14 9:05:04 PM GMT+2","6","6","6","6","6","1","1","1","1","1","1","1","6","4","3","2","8","No"
"2020/07/14 9:05:22 PM GMT+2","8","5","3","5","1","2","6","4","9","6","10","2","2","1","1","1","6","No"
"2020/07/14 9:05:43 PM GMT+2","7","8","5","8","5","5","6","5","7","4","9","6","7","5","1","6","9","No"
"2020/07/14 9:05:45 PM GMT+2","7","7","4","8","5","6","7","6","8","5","9","5","","6","4","6","7","No"
"2020/07/14 9:06:30 PM GMT+2","8","8","7","8","7","6","7","6","7","5","9","5","","6","6","7","9","Yes"
"2020/07/14 9:06:38 PM GMT+2","6","8","6","6","5","7","7","5","7","6","9","6","","5","3","4","7","No"
"2020/07/14 9:09:35 PM GMT+2","6","7","3","7","4","6","6","5","6","5","8","5","5","5","3","6","8","No"
"2020/07/14 9:09:44 PM GMT+2","6","7","5","8","5","6","6","5","8","6","9","6","","4","5","6","7","No"
"2020/07/14 9:10:32 PM GMT+2","7","8","6","6","5","5","6","6","8","6","9","6","6","6","4","6","6","No"
"2020/07/14 9:10:32 PM GMT+2","8","8","6","8","7","6","4","5","8","5","8","6","","7","3","6","8","No"
"2020/07/14 9:10:41 PM GMT+2","8","8","6","8","7","9","7","10","10","6","10","8","7","6","1","5","8","No"
"2020/07/14 9:11:40 PM GMT+2","6","7","4","5","4","5","5","5","7","4","9","4","","5","3","5","8","No"
"2020/07/14 9:11:42 PM GMT+2","6","7","4","6","4","4","6","6","7","4","9","5","5","4","1","5","9","No"
"2020/07/14 9:12:31 PM GMT+2","5","7","6","7","6","5","5","6","8","5","9","6","10","7","4","6","9","No"
"2020/07/14 9:14:36 PM GMT+2","6","7","6","8","5","5","6","5","8","4","10","6","","6","5","5","7","No"
"2020/07/14 9:15:08 PM GMT+2","6","7","6","8","6","6","6","6","7","6","8","6","","6","3","7","7","Yes"
"2020/07/14 9:15:09 PM GMT+2","7","7","6","6","5","6","6","6","7","6","8","6","7","7","5","6","7","No"
"2020/07/14 9:17:03 PM GMT+2","7","8","3","7","6","6","7","7","8","6","9","6","","6","4","5","8","No"
"2020/07/14 9:17:28 PM GMT+2","4","7","6","8","4","5","5","5","6","4","9","5","","6","6","6","7","No"
"2020/07/14 9:17:52 PM GMT+2","7","6","6","7","6","5","5","5","8","6","8","5","","5","5","6","8","No"
"2020/07/14 9:18:27 PM GMT+2","6","7","4","8","5","3","5","5","7","4","9","5","","4","3","7","7","No"
"2020/07/14 9:18:50 PM GMT+2","7","7","5","7","7","3","6","7","9","5","10","6","","7","4","7","8","No"
"2020/07/14 9:19:18 PM GMT+2","3","7","6","8","1","6","3","5","8","3","9","5","6","4","3","3","5","No"
"2020/07/14 9:20:37 PM GMT+2","4","7","5","6","6","7","6","8","8","6","9","6","","5","4","6","5","No"
"2020/07/14 9:20:50 PM GMT+2","5","7","4","6","4","5","6","5","7","5","9","5","6","5","5","5","8","No"
"2020/07/14 9:20:55 PM GMT+2","6","7","5","7","6","6","6","6","8","6","9","6","5","7","4","4","7","No"
"2020/07/14 9:21:13 PM GMT+2","3","4","1","4","1","3","2","6","7","9","10","5","10","2","1","7","9","No"
"2020/07/14 9:21:49 PM GMT+2","6","8","6","7","6","6","6","5","7","5","8","6","","5","5","5","8","No"
