"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Rashford","Bruno","Greenwood","Martial","Pereira","McTominay","Williams","Team Performance","Final Result","Ole","Brighton","Did the ref do a good job?"
"2020/07/01 7:49:22 PM GMT+2","8","7","7","6","8","8","9","7","10","10","6","6","6","6","10","10","10","4","Yes"
"2020/07/01 7:50:11 PM GMT+2","7","7","7","7","7","7","8","7","9","8","7","6","6","6","8","9","8","4","Yes"
"2020/07/01 7:50:47 PM GMT+2","7","8","7","7","8","8","9","7","10","9","7","5","5","6","9","9","9","6","Yes"
"2020/07/01 7:51:05 PM GMT+2","7","7","7","6","7","8","9","6","9","8","6","5","6","6","9","10","8","4","Yes"
"2020/07/01 7:51:54 PM GMT+2","9","10","8","8","9","9","10","7","9","10","7","2","6","6","10","10","9","5","Yes"
"2020/07/01 7:52:19 PM GMT+2","7","7","7","7","7","8","8","6","8","8","7","7","7","8","8","9","9","4","Yes"
"2020/07/01 7:52:26 PM GMT+2","10","9","10","9","9","8","9","6","10","10","6","8","7","10","9","10","10","7","Yes"
"2020/07/01 7:54:01 PM GMT+2","8","8","8","8","8","8","9","7","9","8","7","7","7","7","9","7","9","4","Yes"
"2020/07/01 7:54:10 PM GMT+2","9","9","9","9","9","9","10","7","10","10","8","7","8","10","9","9","10","7","Yes"
"2020/07/01 7:54:26 PM GMT+2","7","7","6","6","7","8","9","5","9","9","5","5","4","6","10","10","9","4","Yes"
"2020/07/01 7:54:40 PM GMT+2","7","8","7","7","6","8","8","5","9","8","6","5","5","6","7","10","7","4","Yes"
"2020/07/01 7:58:44 PM GMT+2","8","7","7","7","8","8","10","7","10","9","7","5","5","6","9","8","9","3","Yes"
"2020/07/01 7:58:49 PM GMT+2","8","9","9","8","9","9","8","7","10","9","7","5","7","6","9","9","10","5","Yes"
"2020/07/01 7:58:51 PM GMT+2","8","8","8","7","8","7","10","5","10","9","5","5","5","5","8","10","8","4","No"
"2020/07/01 8:00:21 PM GMT+2","8","7","8","7","7","7","9","7","10","9","7","","","","9","10","8","3",""
"2020/07/01 8:01:05 PM GMT+2","8","9","8","8","8","8","8","8","9","8","7","6","6","7","8","8","8","5","Yes"
"2020/07/01 8:01:17 PM GMT+2","8","8","9","7","9","9","9","6","7","8","6","5","6","7","8","8","8","6","Yes"
"2020/07/01 8:02:26 PM GMT+2","7","8","8","8","8","8","9","7","9","8","8","6","6","7","9","9","9","5","Yes"
"2020/07/01 8:03:19 PM GMT+2","9","9","9","8","9","9","10","8","10","10","8","","","","9","10","9","6","Yes"
"2020/07/01 8:03:46 PM GMT+2","8","9","8","8","8","9","10","7","10","10","7","5","6","6","10","10","10","7","Yes"
"2020/07/01 8:05:06 PM GMT+2","9","7","8","8","9","9","10","7","10","9","7","","","","10","9","9","3","Yes"
"2020/07/01 8:05:40 PM GMT+2","7","8","7","7","8","8","8","7","9","9","7","6","6","7","8","8","8","4","Yes"
"2020/07/01 8:06:06 PM GMT+2","7","7","7","6","7","7","8","5","9","8","5","5","6","7","7","8","9","5","Yes"
"2020/07/01 8:06:42 PM GMT+2","8","6","7","6","7","9","8","6","10","8","6","6","6","6","10","10","9","5","Yes"
"2020/07/01 8:07:25 PM GMT+2","9","7","9","7","9","9","10","7","9","9","6","6","5","7","9","8","8","5","Yes"
"2020/07/01 8:07:36 PM GMT+2","6","9","7","7","8","8","9","7","10","9","6","","","","8","10","10","4","Yes"
"2020/07/01 8:07:55 PM GMT+2","7","8","8","7","7","7","8","6","9","8","7","6","6","6","8","9","9","4","Yes"
"2020/07/01 8:08:29 PM GMT+2","7","7","7","6","8","8","8","7","9","10","6","5","5","7","8","8","8","3","Yes"
"2020/07/01 8:09:14 PM GMT+2","7","8","7","7","7","8","8","5","8","9","6","3","5","6","9","10","9","4","Yes"
"2020/07/01 8:10:18 PM GMT+2","7","7","8","7","7","8","8","6","9","9","6","7","7","7","8","9","9","4","Yes"
"2020/07/01 8:10:38 PM GMT+2","8","8","9","7","9","9","10","7","10","10","7","6","6","6","9","10","10","3","Yes"
"2020/07/01 8:10:46 PM GMT+2","8","7","7","7","7","7","8","6","9","10","5","5","7","6","8","8","7","4","No"
"2020/07/01 8:12:13 PM GMT+2","7","8","7","7","8","9","9","6","9","9","6","","","","9","10","9","4","Yes"
"2020/07/01 8:13:12 PM GMT+2","8","8","8","8","8","9","9","7","9","8","7","6","6","8","9","9","10","6","Yes"
"2020/07/01 8:15:06 PM GMT+2","8","8","9","8","7","8","10","7","10","10","7","6","6","7","10","9","9","5","Yes"
"2020/07/01 8:15:09 PM GMT+2","9","8","8","8","9","9","10","8","10","10","8","8","8","8","10","10","9","4","Yes"
"2020/07/01 8:17:45 PM GMT+2","7","8","8","9","8","9","9","6","10","9","6","6","7","8","9","10","10","5","Yes"
"2020/07/01 8:20:14 PM GMT+2","9","8","8","8","9","10","10","7","10","10","8","1","6","7","9","9","10","4","Yes"
"2020/07/01 8:21:22 PM GMT+2","9","8","9","9","9","10","10","7","10","10","7","6","6","7","8","9","9","4","Yes"
"2020/07/01 8:21:36 PM GMT+2","7","7","7","7","8","8","8","6","8","8","6","5","5","6","8","8","10","4","Yes"
"2020/07/01 8:23:26 PM GMT+2","8","7","8","8","9","8","8","7","9","9","7","7","7","7","9","9","9","5","No"
"2020/07/01 8:23:37 PM GMT+2","8","8","8","7","8","9","9","7","10","9","7","5","6","7","10","10","10","2","Yes"
"2020/07/01 8:24:01 PM GMT+2","7","7","7","7","7","7","8","7","10","9","8","6","6","8","9","9","9","6","No"
"2020/07/01 8:25:27 PM GMT+2","8","7","7","7","7","8","7","7","9","9","6","5","6","7","9","10","9","5","Yes"
"2020/07/01 8:26:27 PM GMT+2","8","8","7","8","8","8","9","5","9","9","6","5","6","7","8","9","9","5","Yes"
"2020/07/01 8:27:13 PM GMT+2","8","7","8","7","8","8","8","6","9","9","7","5","6","7","10","10","10","3","Yes"
"2020/07/01 8:28:03 PM GMT+2","8","8","8","7","8","8","9","7","9","9","8","7","7","8","9","9","9","5","Yes"
"2020/07/01 8:28:04 PM GMT+2","6","7","6","6","7","8","9","5","9","9","6","6","6","7","9","9","8","4","Yes"
"2020/07/01 8:28:19 PM GMT+2","9","8","8","8","8","9","10","7","10","8","7","4","6","7","9","9","9","6","Yes"
"2020/07/01 8:28:34 PM GMT+2","7","6","7","8","6","6","8","5","9","9","5","5","5","6","8","10","10","4","Yes"
"2020/07/01 8:28:47 PM GMT+2","8","8","8","8","8","8","9","8","10","10","8","7","7","8","10","8","9","6","Yes"
"2020/07/01 8:29:20 PM GMT+2","7","8","7","8","7","7","8","6","9","9","6","6","6","7","9","7","7","4","Yes"
"2020/07/01 8:29:45 PM GMT+2","10","10","10","9","10","10","10","9","10","10","9","8","9","9","10","10","10","5","Yes"
"2020/07/01 8:30:46 PM GMT+2","8","8","8","8","8","7","9","7","9","9","7","6","6","6","8","9","7","5","Yes"
"2020/07/01 8:31:20 PM GMT+2","7","8","8","7","7","7","9","7","9","9","6","","","","8","9","9","5","Yes"
"2020/07/01 8:31:37 PM GMT+2","7","8","8","9","9","9","9","6","9","9","6","6","6","8","8","8","10","6","Yes"
