"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 2:38:33 PM GMT+1","5","5","2","3","6","5","5","2","3","1","1","5","2","","3","1","1","2","Yes","No"
"2020/01/25 2:39:27 PM GMT+1","6","7","1","4","7","6","6","7","4","2","2","5","5","5","1","1","1","6","Yes","Yes"
"2020/01/25 2:40:23 PM GMT+1","4","6","3","4","4","6","6","4","3","2","2","","1","","3","1","4","7","Yes","Yes"
"2020/01/25 2:41:09 PM GMT+1","6","6","4","6","7","6","6","4","4","4","3","5","","","4","2","5","4","Yes","Yes"
"2020/01/25 2:41:13 PM GMT+1","5","5","4","6","5","6","5","4","3","3","3","","","","3","8","3","9","Yes","Yes"
"2020/01/25 2:41:21 PM GMT+1","6","6","4","5","6","5","6","5","5","5","3","","","","2","1","4","8","Yes","Yes"
"2020/01/25 2:42:42 PM GMT+1","4","6","2","5","7","7","7","1","1","1","1","5","1","6","1","1","1","8","Yes","Yes"
"2020/01/25 2:44:59 PM GMT+1","6","5","3","5","5","5","5","3","2","4","3","4","5","5","1","1","1","6","Yes","Yes"
"2020/01/25 2:45:31 PM GMT+1","4","3","4","3","4","5","7","5","2","4","5","5","2","2","2","1","2","6","Yes","Yes"
"2020/01/25 2:46:33 PM GMT+1","2","4","2","3","1","4","5","3","4","2","1","5","","5","1","1","1","7","Yes","Yes"
"2020/01/25 2:48:26 PM GMT+1","4","7","6","4","9","6","7","6","4","5","3","7","1","2","1","1","2","4","Yes","Yes"
"2020/01/25 2:52:06 PM GMT+1","5","5","4","6","8","4","4","4","4","4","3","","1","6","3","1","2","5","",""
"2020/01/25 2:52:41 PM GMT+1","3","4","2","3","4","4","4","3","1","3","3","","","","1","1","1","5","Yes","Yes"
"2020/01/25 2:55:31 PM GMT+1","5","6","6","6","8","6","9","5","5","5","8","6","6","6","4","1","4","3","No","No"
"2020/01/25 2:57:18 PM GMT+1","6","6","5","4","6","4","6","5","2","4","5","6","4","6","3","1","1","7","Yes","Yes"
"2020/01/25 2:59:27 PM GMT+1","5","5","2","4","5","4","2","2","1","2","1","3","1","2","2","5","1","7","Yes","Yes"
"2020/01/25 3:00:02 PM GMT+1","6","4","4","6","7","5","6","4","2","4","4","5","4","4","4","4","4","7","Yes","Yes"
