"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","McTominay","Rashford","Pereira","Greenwood","Martial","Pogba (optional)","Lingard (optional)","Mata (optional)","Team Performance","Final Result","Ole","Newcastle","Did the ref/VAR do a good job? "
"2019/12/27 4:13:18 PM GMT+1","6","5","6","6","7","7","6","7","7","8","9","7","6","6","8","9","7","4","Yes"
"2019/12/27 4:14:35 PM GMT+1","6","6","6","5","7","8","6","6","6","7","9","7","4","6","8","9","8","7","Yes"
"2019/12/27 4:15:21 PM GMT+1","6","6","8","6","8","6","7","7","5","8","8","6","5","6","8","8","6","7","Yes"
"2019/12/27 4:16:04 PM GMT+1","6","6","6","7","8","9","7","8","7","9","9","8","6","8","8","8","8","2","Yes"
"2019/12/27 4:18:16 PM GMT+1","5","6","8","7","9","8","7","8","6","9","10","8","5","6","8","8","9","3",""
"2019/12/27 4:19:39 PM GMT+1","6","7","8","7","8","8","7","8","7","9","10","8","6","7","9","10","8","4","No"
"2019/12/27 4:24:57 PM GMT+1","7","7","7","7","8","8","7","8","5","8","9","8","","","8","9","8","5","No"
"2019/12/27 4:25:06 PM GMT+1","5","6","7","7","8","7","7","8","6","8","9","6","5","5","7","9","7","10","Yes"
"2019/12/27 4:26:31 PM GMT+1","7","7","8","7","8","6","6","8","7","8","9","7","6","6","8","9","6","2","No"
"2019/12/27 4:27:35 PM GMT+1","6","6","8","6","7","7","7","7","7","8","9","7","6","6","8","8","8","4","Yes"
"2019/12/27 4:27:47 PM GMT+1","6","7","8","7","10","9","8","10","7","10","10","8","1","1","8","10","10","1","No"
"2019/12/27 4:28:12 PM GMT+1","7","10","8","7","8","9","6","8","7","9","9","8","5","6","9","9","10","4","Yes"
"2019/12/27 4:28:25 PM GMT+1","5","4","6","5","6","8","6","7","6","8","9","7","","","7","8","9","8","Yes"
"2019/12/27 4:28:52 PM GMT+1","6","6","6","6","7","8","6","7","6","7","9","6","5","6","7","8","7","5","Yes"
"2019/12/27 4:29:10 PM GMT+1","6","6","7","6","7","8","4","7","6","8","9","8","6","5","7","9","8","8","Yes"
"2019/12/27 4:30:11 PM GMT+1","7","6","8","7","8","8","7","8","7","8","8","8","7","7","7","9","10","7","Yes"
"2019/12/27 4:31:05 PM GMT+1","4","5","6","4","7","6","6","7","1","8","8","6","5","5","7","9","7","2","Yes"
