"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Aaron Wan Bissaka","Fred","Andreas Pereira","Marcus Rashford","Juan Mata","Daniel James","Anthony Martial","Jesse Lingard (optional)","Luke Shaw (optional)","Team Performance","Final Result","Ole","Opponent: Aston Villa","Did the ref/VAR do a good job (optional & please be unbiased)"
"2019/12/03 7:42:20 AM GMT+1","6","4","4","5","6","5","2","3","1","3","3","1","1","2","1","1","5","Yes"
"2019/12/03 8:19:46 AM GMT+1","6","5","4","5","5","6","3","6","3","6","6","6","5","4","4","3","5","No"
"2019/12/03 8:20:39 AM GMT+1","6","4","3","3","4","6","2","5","4","3","5","","","3","3","2","6","Yes"
"2019/12/03 8:20:50 AM GMT+1","7","7","6","6","6","8","3","7","6","8","4","6","4","4","7","7","6","No"
"2019/12/03 8:21:44 AM GMT+1","6","5","6","7","6","7","5","5","7","7","4","5","6","5","4","7","6","Yes"
"2019/12/03 8:23:04 AM GMT+1","7","4","4","5","3","6","4","6","4","6","5","3","4","4","1","3","7","Yes"
"2019/12/03 8:23:34 AM GMT+1","7","5","6","8","6","7","3","7","6","8","6","","","5","4","3","6","Yes"
"2019/12/03 8:28:56 AM GMT+1","8","6","7","7","8","7","4","7","5","6","5","6","5","5","4","6","7","Yes"
"2019/12/03 8:35:22 AM GMT+1","6","4","4","5","5","4","3","4","3","4","3","4","5","2","1","1","6","Yes"
"2019/12/03 8:43:34 AM GMT+1","6","6","5","7","7","5","5","6","3","6","2","6","6","3","3","2","6","No"
"2019/12/03 8:59:53 AM GMT+1","5","5","4","6","5","7","2","6","3","6","5","5","","4","3","5","6","Yes"
"2019/12/03 9:01:50 AM GMT+1","6","4","4","4","4","5","2","6","3","6","5","5","5","4","4","4","6","Yes"
"2019/12/03 9:07:25 AM GMT+1","7","5","5","6","6","6","4","6","6","6","5","5","5","5","5","5","7","Yes"
"2019/12/03 9:18:37 AM GMT+1","5","5","4","6","5","7","4","5","3","7","4","5","5","3","2","3","7","Yes"
"2019/12/03 9:19:16 AM GMT+1","7","5","5","6","4","8","2","4","4","5","4","4","3","2","3","1","5","No"
"2019/12/03 9:27:43 AM GMT+1","6","4","5","7","6","6","5","6","4","6","4","4","5","4","2","3","3","Yes"
