"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 9:52:50 PM GMT+1","5","5","5","4","6","4","5","3","6","7","5","5","6","6","3","5","4","Yes"
"2019/08/31 9:52:57 PM GMT+1","6","5","6","4","6","4","5","4","5","7","4","4","4","5","1","2","2","Yes"
"2019/08/31 9:53:37 PM GMT+1","8","7","7","6","9","9","6","5","7","10","5","5","5","4","4","5","8","Yes"
"2019/08/31 9:55:08 PM GMT+1","7","7","7","7","6","6","4","5","8","9","3","3","4","6","4","7","6","Yes"
"2019/08/31 9:56:02 PM GMT+1","7","5","6","4","8","6","7","6","6","8","7","5","4","6","5","7","6","Yes"
"2019/08/31 9:56:37 PM GMT+1","7","6","5","4","6","5","6","4","5","7","3","3","5","4","1","4","4","Yes"
"2019/08/31 9:57:16 PM GMT+1","5","5","5","3","5","5","5","4","5","9","5","2","2","1","1","1","7","Yes"
"2019/08/31 9:57:32 PM GMT+1","6","6","7","5","7","5","3","3","6","8","4","3","6","5","10","10","1","Yes"
"2019/08/31 9:58:06 PM GMT+1","5","4","3","6","8","7","6","5","2","7","3","2","5","4","2","3","2","Yes"
"2019/08/31 9:58:34 PM GMT+1","4","5","6","5","8","5","6","2","3","7","2","3","4","4","8","5","5","No"
"2019/08/31 9:58:55 PM GMT+1","6","6","5","6","8","6","3","5","7","8","4","","","5","1","4","7","Yes"
"2019/08/31 9:59:03 PM GMT+1","6","6","4","3","6","5","2","3","3","8","4","4","3","5","3","4","7","Yes"
"2019/08/31 9:59:41 PM GMT+1","6","6","7","5","7","7","6","5","7","8","5","6","6","6","4","7","4","Yes"
"2019/08/31 10:00:28 PM GMT+1","6","5","6","5","7","6","7","4","6","7","4","","","5","3","4","6","Yes"
"2019/08/31 10:03:30 PM GMT+1","5","5","6","4","7","5","3","3","6","9","2","2","1","4","1","5","4","No"
"2019/08/31 10:04:26 PM GMT+1","6","5","7","3","8","6","6","6","6","8","4","6","6","5","2","4","6","Yes"
"2019/08/31 10:04:51 PM GMT+1","4","6","6","3","7","4","3","3","6","8","2","4","4","3","3","3","5","No"
"2019/08/31 10:06:20 PM GMT+1","8","5","6","5","8","8","6","4","6","8","3","4","5","4","3","4","7","No"
"2019/08/31 10:09:51 PM GMT+1","7","5","6","4","8","6","6","4","7","8","6","1","5","6","4","6","6","No"
"2019/08/31 10:09:52 PM GMT+1","6","5","6","4","8","5","2","2","6","8","1","2","3","2","1","3","4","Yes"
"2019/08/31 10:10:03 PM GMT+1","6","6","7","6","8","8","6","4","7","8","2","4","5","3","1","3","7","Yes"
"2019/08/31 10:11:03 PM GMT+1","6","6","6","6","7","8","8","4","6","9","3","4","5","6","2","6","5","Yes"
"2019/08/31 10:11:22 PM GMT+1","5","5","6","2","6","4","2","1","4","8","3","2","2","3","1","3","5","Yes"
"2019/08/31 10:11:37 PM GMT+1","5","6","7","3","6","5","5","1","5","8","1","3","5","5","1","6","5","Yes"
"2019/08/31 10:12:14 PM GMT+1","5","6","5","5","6","7","3","3","5","7","3","3","5","5","4","3","6","Yes"
"2019/08/31 10:12:52 PM GMT+1","5","6","6","3","7","5","3","3","4","8","3","3","4","5","3","3","2","Yes"
"2019/08/31 10:13:05 PM GMT+1","6","7","6","4","7","7","7","3","8","8","2","6","6","3","1","2","6","Yes"
"2019/08/31 10:13:40 PM GMT+1","6","6","6","5","7","5","6","3","6","8","2","2","4","4","6","4","6","Yes"
"2019/08/31 10:13:59 PM GMT+1","7","8","8","6","9","7","7","6","8","9","7","","","7","5","6","5","Yes"
"2019/08/31 10:14:20 PM GMT+1","6","5","5","4","7","5","8","4","6","8","5","3","4","4","1","4","5","Yes"
"2019/08/31 10:16:18 PM GMT+1","6","6","6","5","6","8","3","3","6","8","2","1","5","4","4","4","6","Yes"
"2019/08/31 10:16:37 PM GMT+1","5","4","6","3","5","4","3","4","4","7","3","2","5","3","1","3","5","No"
"2019/08/31 10:16:44 PM GMT+1","2","2","5","1","5","2","1","1","3","5","1","1","1","1","1","1","2","Yes"
"2019/08/31 10:17:44 PM GMT+1","6","4","6","4","8","5","3","3","3","7","4","","","3","1","5","4","Yes"
"2019/08/31 10:18:53 PM GMT+1","6","7","8","7","8","7","6","5","6","9","6","6","7","7","3","6","7","Yes"
"2019/08/31 10:19:33 PM GMT+1","6","6","6","4","8","5","6","3","7","7","2","1","6","4","1","5","10","Yes"
"2019/08/31 10:19:45 PM GMT+1","6","4","6","4","7","7","4","3","5","7","3","2","2","2","1","3","3","Yes"
"2019/08/31 10:20:25 PM GMT+1","7","6","7","6","7","6","6","6","4","7","5","5","6","6","1","7","9","Yes"
"2019/08/31 10:22:54 PM GMT+1","4","6","6","4","5","6","4","5","5","8","4","4","5","5","4","4","5","Yes"
"2019/08/31 10:23:59 PM GMT+1","5","6","7","5","7","6","6","6","6","8","6","5","5","6","4","5","6","Yes"
"2019/08/31 10:24:13 PM GMT+1","6","5","8","3","6","6","4","4","8","7","4","2","7","4","4","4","7","No"
"2019/08/31 10:24:30 PM GMT+1","7","7","6","5","6","6","5","5","5","8","5","4","6","5","4","6","6","Yes"
"2019/08/31 10:25:12 PM GMT+1","10","3","5","4","7","7","6","4","7","10","6","2","2","4","1","3","3","No"
"2019/08/31 10:26:27 PM GMT+1","6","6","6","5","7","6","6","3","6","8","4","1","5","5","3","4","6","Yes"
