"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Bailly","Fred","James","Team Performance","Final Result","Ole","Bournemouth","Did the ref do a good job?"
"2020/07/07 5:28:10 PM GMT+2","7","9","7","6","10","9","8","8","10","9","9","5","7","6","9","9","9","3","No"
"2020/07/07 5:28:12 PM GMT+2","6","8","5","5","6","9","8","8","10","10","8","5","4","6","9","10","9","1","Yes"
"2020/07/07 5:29:02 PM GMT+2","3","8","6","7","8","6","7","7","9","9","8","5","7","6","7","7","8","6","No"
"2020/07/07 5:29:51 PM GMT+2","4","7","4","7","7","7","7","7","8","8","7","5","7","6","8","7","8","3","Yes"
"2020/07/07 5:30:10 PM GMT+2","6","8","6","7","7","8","8","7","9","10","8","7","7","7","8","9","8","4","Yes"
"2020/07/07 5:30:12 PM GMT+2","5","8","5","7","8","8","7","7","9","9","8","7","7","6","8","8","9","4","No"
"2020/07/07 5:30:15 PM GMT+2","4","8","5","7","6","7","8","7","9","9","8","5","7","6","8","8","6","3","No"
"2020/07/07 5:30:35 PM GMT+2","3","6","4","5","6","7","7","5","7","9","8","5","6","5","6","7","6","4","Yes"
"2020/07/07 5:30:46 PM GMT+2","5","9","7","8","9","9","10","8","10","10","8","7","9","7","9","9","10","6","Yes"
"2020/07/07 5:32:52 PM GMT+2","6","8","7","7","8","10","10","7","10","10","10","6","10","6","10","10","10","8","Yes"
"2020/07/07 5:33:00 PM GMT+2","5","8","5","7","7","9","8","7","9","10","8","6","7","6","9","9","8","3","No"
"2020/07/07 5:33:01 PM GMT+2","5","8","7","8","8","9","10","10","10","10","10","3","8","6","8","8","8","6","No"
"2020/07/07 5:33:22 PM GMT+2","5","9","5","8","8","8","8","7","9","9","8","6","7","7","9","8","10","7","No"
"2020/07/07 5:33:35 PM GMT+2","5","7","6","7","8","8","9","7","9","9","8","6","7","","8","9","9","3","Yes"
"2020/07/07 5:34:30 PM GMT+2","6","7","7","7","7","8","8","8","8","9","7","7","8","7","9","10","9","7","Yes"
"2020/07/07 5:34:38 PM GMT+2","4","7","5","7","7","7","7","6","8","9","7","5","7","7","7","7","7","4","No"
"2020/07/07 5:35:35 PM GMT+2","6","10","7","8","9","9","10","7","10","10","9","8","7","7","9","10","10","7","No"
