"Timestamp","David de Gea","Marcos Rojo","Harry Maguire","Victor Lindelof","Ashley Young","Aaron Wan-Bissaka","Fred","Scott McTominay","Andreas Pereira","Marcus Rashford","Daniel James","Team performance","Final result","Rate Ole (only this match)","Rate Liverpool (only this match)","Were you happy with the ref's performance? (optional)"
"2019/10/21 1:21:25 PM GMT+1","6","7","7","7","8","8","7","7","9","9","10","9","7","9","5","Yes"
"2019/10/21 1:23:13 PM GMT+1","7","6","7","5","9","9","7","6","9","10","9","9","7","7","5","Yes"
"2019/10/21 1:23:32 PM GMT+1","6","4","6","5","4","5","2","6","6","7","7","5","5","2","3","No"
"2019/10/21 1:23:50 PM GMT+1","7","6","8","6","6","8","7","8","8","8","8","7","6","7","5","Yes"
"2019/10/21 1:23:53 PM GMT+1","7","5","6","7","6","7","6","8","8","8","8","7","7","7","6","Yes"
"2019/10/21 1:24:13 PM GMT+1","8","5","9","6","8","9","9","9","7","8","9","8","5","9","5","Yes"
"2019/10/21 1:24:37 PM GMT+1","8","6","8","7","7","9","7","8","9","8","9","8","6","6","4","Yes"
"2019/10/21 1:24:38 PM GMT+1","8","7","9","8","8","9","5","7","8","8","9","8","8","7","5","Yes"
"2019/10/21 1:25:09 PM GMT+1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","Yes"
"2019/10/21 1:25:46 PM GMT+1","6","4","6","5","7","8","6","6","8","7","7","6","5","6","3","Yes"
"2019/10/21 1:25:50 PM GMT+1","7","6","8","6","6","7","6","7","7","8","9","7","7","7","4","Yes"
"2019/10/21 1:26:01 PM GMT+1","6","6","6","5","7","7","6","7","7","8","8","6","7","8","4","Yes"
"2019/10/21 1:26:14 PM GMT+1","7","4","6","5","4","7","6","6","4","7","8","6","6","4","2","No"
"2019/10/21 1:26:33 PM GMT+1","6","5","8","7","6","7","6","8","8","8","9","7","7","9","7","Yes"
"2019/10/21 1:26:35 PM GMT+1","8","6","7","5","6","7","6","6","8","8","8","8","6","9","4","Yes"
