"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Pereira","Daniel James","Bruno Fernandes ❤️ ","Mata","Martial","Greenwood (optional)","Team Performance","Final Result","Ole","Wolves","Did the ref/VAR do a good job?"
"2020/02/03 9:33:37 PM GMT+1","7","8","7","7","7","8","2","5","8","7","1","5","4","4","5","4","No"
"2020/02/03 9:35:08 PM GMT+1","7","6","8","7","8","7","3","5","7","5","4","","7","5","6","6","No"
"2020/02/03 9:35:12 PM GMT+1","8","6","6","6","8","7","2","5","7","6","5","6","4","3","4","6","Yes"
"2020/02/03 9:35:48 PM GMT+1","8","7","7","7","7","6","3","3","8","7","4","7","6","6","7","7","Yes"
"2020/02/03 9:36:53 PM GMT+1","7","6","6","6","7","8","3","3","7","6","3","","5","5","5","5","Yes"
"2020/02/03 9:40:31 PM GMT+1","8","7","9","7","7","7","4","6","9","7","5","6","6","5","9","8","No"
"2020/02/03 9:40:42 PM GMT+1","6","8","8","7","7","7","3","4","7","6","4","","6","5","5","5","No"
"2020/02/03 9:40:50 PM GMT+1","6","6","6","6","7","6","3","6","8","6","4","6","5","6","4","6","Yes"
"2020/02/03 9:42:56 PM GMT+1","7","7","7","6","7","7","4","5","7","6","5","","5","5","7","6","No"
"2020/02/03 9:44:26 PM GMT+1","6","5","7","7","7","7","4","4","8","5","5","","5","5","3","3","Yes"
"2020/02/03 9:44:33 PM GMT+1","7","7","7","6","7","6","4","5","7","6","4","5","4","4","5","6","No"
"2020/02/03 9:45:48 PM GMT+1","7","8","7","7","7","7","4","5","7","6","5","","5","3","4","5","Yes"
"2020/02/03 9:48:56 PM GMT+1","8","6","7","6","7","7","4","5","8","6","5","10","7","4","7","7","Yes"
"2020/02/03 9:49:27 PM GMT+1","6","5","5","5","7","6","3","4","6","5","4","5","5","5","4","7","Yes"
"2020/02/03 9:53:43 PM GMT+1","6","8","7","6","7","7","3","4","7","5","4","4","5","4","5","5","No"
"2020/02/03 9:54:25 PM GMT+1","7","7","7","7","6","8","3","3","7","5","6","5","6","7","5","7","No"
"2020/02/03 9:55:16 PM GMT+1","7","7","7","7","6","8","3","4","7","3","2","4","4","3","5","5","Yes"
"2020/02/03 9:56:14 PM GMT+1","6","7","7","7","8","7","3","4","8","6","4","6","6","6","5","7","Yes"
"2020/02/03 9:58:05 PM GMT+1","8","8","8","8","7","8","5","5","7","6","5","","7","5","6","6","No"
"2020/02/03 9:58:12 PM GMT+1","6","6","8","7","6","7","4","6","8","6","6","5","6","6","6","7","Yes"
"2020/02/03 10:02:31 PM GMT+1","6","6","6","6","7","6","6","6","10","7","7","7","7","7","7","7",""
"2020/02/03 10:04:54 PM GMT+1","8","9","8","7","8","7","2","5","7","6","4","4","6","6","6","5","Yes"
"2020/02/03 10:05:28 PM GMT+1","6","6","6","6","6","7","1","3","6","2","2","","4","3","2","7","Yes"
"2020/02/03 10:06:01 PM GMT+1","7","8","6","5","7","6","4","5","7","4","5","6","5","4","6","7","Yes"
"2020/02/03 10:07:11 PM GMT+1","6","4","7","6","9","7","3","4","8","7","4","6","4","3","4","8","No"
"2020/02/03 10:07:15 PM GMT+1","8","9","9","9","7","9","4","6","9","7","5","8","7","4","9","8","No"
"2020/02/03 10:10:49 PM GMT+1","5","4","4","10","7","4","4","8","9","6","2","7","5","4","10","6","Yes"
"2020/02/03 10:12:00 PM GMT+1","7","7","7","6","8","6","3","4","8","5","4","","6","6","6","6","No"
"2020/02/03 10:15:23 PM GMT+1","8","7","7","5","7","8","4","2","7","4","9","6","5","3","1","5","Yes"
"2020/02/03 10:16:48 PM GMT+1","6","7","9","6","7","7","3","4","7","6","3","6","6","4","5","4","No"
"2020/02/03 10:24:28 PM GMT+1","6","6","6","6","7","7","1","4","7","6","4","6","5","3","4","6","Yes"
"2020/02/03 10:26:46 PM GMT+1","8","6","6","5","6","8","3","4","6","4","4","","2","1","3","7","Yes"
